Metabolite	Common_metabolite_name	KEGG_ID	HMDB_ID	SMILES_metabolite
"D-Fructose 1,6-bisphosphate"	"beta-D-Fructose 1,6-bisphosphate"	C05378	HMDB60444	O[C@H]1[C@H](O)[C@@](O)(COP(O)(O)=O)O[C@@H]1COP(O)(O)=O
"D-Glucose 1,6-bisphosphate"	"Alpha-D-Glucose 1,6-bisphosphate"	C01231	HMDB03514	O[C@H]1[C@H](O)[C@@H](COP(O)(O)=O)O[C@H](OP(O)(O)=O)[C@@H]1O
NADP	NADP	C00006	HMDB00217	NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](OP(O)(O)=O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O
D-Glucuronic acid	D-Glucuronic acid	C00191	HMDB00127	O[C@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O
Uridine	Uridine	C00299	HMDB00296	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O
"DL-3,4-Dihydroxymandelic acid"	"3,4-Dihydroxymandelic acid"	C05580	HMDB01866	OC(C(O)=O)C1=CC=C(O)C(O)=C1
UDP-Glucuronate	Uridine diphosphate glucuronic acid	C00167	HMDB00935	O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)O[C@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)C(O)=O)O[C@H]([C@@H]1O)N1C=CC(=O)NC1=O
2-Deoxycytidine	Deoxycytidine	C00881	HMDB00014	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1
Pyridoxamine-5-phosphate	Pyridoxamine 5'-phosphate	C00647	HMDB01555	CC1=NC=C(COP(O)(O)=O)C(CN)=C1O
Coenzyme A	Coenzyme A	C00010	HMDB01423	CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)C(O)C(=O)NCCC(=O)NCCS
N-Acetyl-D-glucosamine 6-phosphate	N-Acetyl-D-Glucosamine 6-Phosphate	C00357	HMDB01062	CC(=O)N[C@H]1C(O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O
N-Acetylmuramic acid	N-Acetylmuramate	C02713	HMDB60493	C[C@@H](O[C@H]1[C@H](O)[C@@H](CO)OC(O)[C@@H]1N=C(C)O)C(O)=O
D-Lactaldehyde	D-Lactaldehyde	C00937	HMDB06458	C[C@@H](O)C=O
5-Methyluridine	Ribothymidine		HMDB00884	CC1=CN([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)NC1=O
3-Sulfopyruvic acid	3-Sulfopyruvic acid	C05528	HMDB04045	OC(=O)C(=O)CS(O)(=O)=O
2-Deoxyribose-5-phosphate	Deoxyribose 5-phosphate	C00673	HMDB01031	O[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1
2-Oxoadipic acid	Oxoadipic acid	C00322	HMDB00225	OC(=O)CCCC(=O)C(O)=O
Diadenosine triphosphate	Diadenosine triphosphate	C06197	HMDB01155	NC1=C2N=CN([C@H]3O[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(=O)OC[C@H]4O[C@H]([C@H](O)[C@@H]4O)N4C=NC5=C(N)N=CN=C45)[C@H](O)[C@@H]3O)C2=NC=N1
N-Acetylneuraminic acid	N-Acetylneuraminic acid	C00270	HMDB00230	CC(=O)N[C@@H]1[C@@H](O)C[C@](O)(O[C@H]1[C@H](O)[C@H](O)CO)C(O)=O
L-Cystine	L-Cystine	C00491	HMDB00192	N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O
2-Ketobutyric acid	2-Ketobutyric acid	C00109	HMDB00005	CCC(=O)C(O)=O
Acetoacetate	Acetoacetic acid	C00164	HMDB00060	CC(=O)CC(O)=O
2-Deoxyadenosine 5-triphosphate	Deoxyadenosine triphosphate	 C00131	HMDB01532	NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1
D-Fructose 6-phosphate	Fructose 6-phosphate	C00085	HMDB00124	OCC(=O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O
D-Galactose 1-phosphate	Galactose 1-phosphate	 C00446	HMDB00645	OC[C@H]1O[C@H](OP(O)(O)=O)[C@H](O)[C@@H](O)[C@H]1O
D-Glucose 1-phosphate	Glucose 1-phosphate	C00103	HMDB01586	OC[C@H]1OC(OP(O)(O)=O)[C@H](O)[C@@H](O)[C@@H]1O
D-Glucose 6-phosphate	Glucose 6-phosphate	C00668	HMDB01401	OC1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]1O
D-Mannose 6-phosphate	Mannose 6-phosphate	C00275	HMDB01078	O[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H]1O
Mannose 1-phosphate	D-Mannose 1-phosphate	C00636	HMDB06330	OC[C@H]1OC(OP(O)(O)=O)[C@@H](O)[C@@H](O)[C@@H]1O
D-Aspartate	D-Aspartic acid	C00402	HMDB06483	N[C@H](CC(O)=O)C(O)=O
L-Aspartate	L-Aspartic acid	C00049	HMDB00191	N[C@@H](CC(O)=O)C(O)=O
Thymidine 5-triphosphate	Thymidine 5'-triphosphate	C00459	HMDB01342	CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O2)C(=O)NC1=O
CDP-ethanolamine	CDP-Ethanolamine	C00570	HMDB01564	NCCOP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(N)=NC1=O
Cyclic GMP	Cyclic GMP	C00942	HMDB01314	NC1=NC2=C(N=CN2[C@@H]2O[C@@H]3COP(O)(=O)O[C@H]3[C@H]2O)C(=O)N1
L-Cysteic acid	Cysteic acid	C00506	HMDB02757	NC(CS(O)(=O)=O)C(O)=O
NADH	NADH	C00004	HMDB01487	NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O
Metanephrine	Metanephrine	C05588	HMDB04063	CNCC(O)C1=CC(OC)=C(O)C=C1
Deoxyadenosine diphosphate	dADP	 C00206	HMDB01508	NC1=NC=NC2=C1N=CN2C1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O1
3-Methylglutaconic acid	3-Methylglutaconic acid		HMDB00522	C\C(CC(O)=O)=C/C(O)=O
"3,5-Diiodo-L-tyrosine"	"3,5-Diiodo-L-tyrosine"	C01060	HMDB03474	N[C@@H](CC1=CC(I)=C(O)C(I)=C1)C(O)=O
D-Xylose	D-Xylose	C00181	HMDB00098	O[C@@H]1COC(O)[C@H](O)[C@H]1O
L-Arabinose	L-Arabinose	C00259	HMDB00646	O[C@H]1COC(O)[C@H](O)[C@H]1O
L-Ribulose	L-Ribulose	C00508	HMDB03371	OCC1(O)OC[C@@H](O)[C@@H]1O
Dephosphocoenzyme A	Dephospho-CoA	C00882	HMDB01373	CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N)C(O)C(=O)NCCC(=O)NCCS
2-Deoxyguanosine 5-diphosphate	dGDP	C00361	HMDB00960	NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O2)C(=O)N1
Adenosine diphosphate	ADP	C00008	HMDB01341	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
Nicotinamide hypoxanthine dinucleotide	NHD	C04423		c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4[nH]cnc5=O)O)O)O)O)C(=O)N
N-Glycolylneuraminic acid	N-Glycolylneuraminic acid	C03410	HMDB00833	OC[C@@H](O)[C@@H](O)[C@@H]1O[C@@](O)(C[C@H](O)[C@H]1NC(=O)CO)C(O)=O
L-Threonine	L-Threonine	C00188	HMDB00167	C[C@@H](O)[C@H](N)C(O)=O
Methylmalonic acid	Methylmalonic acid	C02170	HMDB00202	CC(C(O)=O)C(O)=O
Succinic acid	Succinic acid	C00042	HMDB00254	OC(=O)CCC(O)=O
4-Hydroxyphenylpyruvic acid	4-Hydroxyphenylpyruvic acid	C01179	HMDB00707	OC(=O)C(=O)CC1=CC=C(O)C=C1
Oxaloacetic acid	Oxalacetic acid	C00036	HMDB00223	OC(=O)CC(=O)C(O)=O
N-Acetylputrescine	N-Acetylputrescine	C02714	HMDB02064	CC(=O)NCCCCN
L-Cysteine	L-Cysteine	C00097	HMDB00574	N[C@@H](CS)C(O)=O
2-Methylglutaric acid	2-Methylglutaric acid		HMDB00422	CC(CCC(O)=O)C(O)=O
3-Methylglutaric acid	Methylglutaric acid		HMDB00752	CC(CC(O)=O)CC(O)=O
"2,5-Dihydroxybenzaldehyde"	Gentisate aldehyde	C05585	HMDB04062	OC1=CC(C=O)=C(O)C=C1
4-Hydroxybenzoic acid	4-Hydroxybenzoic acid	C00156	HMDB00500	OC(=O)C1=CC=C(O)C=C1
Nalpha-Acetyl-L-lysine	N-Alpha-acetyllysine	C12989	HMDB00446	CC(=O)NC(CCCCN)C(O)=O
Ne-Acetyl-lysine	N6-Acetyl-L-lysine	C02727	HMDB00206	CC(=O)NCCCC[C@H](N)C(O)=O
Ethylmalonic acid	Ethylmalonic acid		HMDB00622	CCC(C(O)=O)C(O)=O
Glutaric acid	Glutaric acid	C00489	HMDB00661	OC(=O)CCCC(O)=O
Guanosine 5-triphosphate	Guanosine triphosphate	C00044	HMDB01273	NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1
Inosine 5-triphosphate	Inosine triphosphate	C00081	HMDB00189	O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CN=C2O
N-Acetyl-D-glucosamine 1-phosphate	N-Acetyl-glucosamine 1-phosphate	 C04501	HMDB01367	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)OC1OP(O)(O)=O
1-Methyl-L-histidine	1-Methylhistidine	C01152	HMDB00001	CN1C=NC(C[C@H](N)C(O)=O)=C1
Cysteamine	Cysteamine	C01678	HMDB02991	NCCS
"2,3-Diphospho-D-glyceric acid"	"2,3-Diphosphoglyceric acid"	C01159	HMDB01294	OC(=O)[C@@H](COP(O)(O)=O)OP(O)(O)=O
S-(5-Adenosyl)-L-methionine	S-Adenosylmethionine	C00019	HMDB01185	C[S+](CC[C@H](N)C(O)=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(N)N=CN=C12
Cytidine 5-diphosphate	CDP	C00112	HMDB01546	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
Xanthosine	Xanthosine	C01762	HMDB00299	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=C(O)N=C2O
Uridine monophosphate	Uridine 5'-monophosphate	C00105	HMDB00288	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O
Guanosine 5-monophosphate	Guanosine monophosphate	C00144	HMDB01397	NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1
Cytidine monophosphate	Cytidine monophosphate	C00055	HMDB00095	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O
4-Imidazoleacetic acid	Imidazoleacetic acid	C02835	HMDB02024	OC(=O)CC1=CN=CN1
Guanosine	Guanosine	C00387	HMDB00133	NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1
Deoxyguanylate	2'-Deoxyguanosine 5'-monophosphate	C00362	HMDB01044	NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](COP(O)(O)=O)O2)C(=O)N1
5-Methyluridine	Ribothymidine		HMDB00884	CC1=CN([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)NC1=O
Orotidine 5-monophosphate	Orotidylic acid	C01103	HMDB00218	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C(=O)NC(=O)C=C1C(O)=O
Nicotinamide ribotide	Nicotinamide ribotide	C00455	HMDB00229	NC(=O)C1=CC=C[N+](=C1)[C@@H]1O[C@H](COP(O)([O-])=O)[C@@H](O)[C@H]1O
Adenosine 5-phosphosulfate	Adenosine phosphosulfate	C00224	HMDB01003	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OS(O)(=O)=O)[C@@H](O)[C@H]1O
D-Glucosamine 6-phosphate	Glucosamine 6-phosphate	C00352	HMDB01254	N[C@H]1[C@@H](O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O
Deoxycytidine triphosphate	dCTP	C00458	HMDB00998	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1
2-Deoxycytidine	Deoxycytidine	C00881	HMDB00014	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1
Xanthosine 5-monophosphate	Xanthylic acid	C00655	HMDB01554	O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1NC(=O)NC2=O
2-Deoxy-5-cytidylic acid	dCMP	 C00239	HMDB01202	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1
S-Lactoylglutathione	S-Lactoylglutathione	C03451	HMDB01066	C[C@@H](O)C(=O)SC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O
2-Deoxyribose-5-phosphate	Deoxyribose 5-phosphate	C00673	HMDB01031	O[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1
Uridine	Uridine	C00299	HMDB00296	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O
N-Acetyl-D-glucosamine 1-phosphate	N-Acetyl-glucosamine 1-phosphate	 C04501	HMDB01367	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)OC1OP(O)(O)=O
Inosine 5-monophosphate	Inosinic acid	C00130	HMDB00175	O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CNC2=O
"D-Erythrono-1,4-lactone"	"Erythrono-1,4-lactone"		HMDB00349	O[C@@H]1COC(=O)[C@@H]1O
Adenine	Adenine	C00147	HMDB00034	NC1=NC=NC2=C1NC=N2
3-Hydroxy-3-methylglutaryl coenzyme A	3-Hydroxy-3-methylglutaryl-CoA	C00356	HMDB01375	C[C@](O)(CC(O)=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N
DL-Homocysteine	Homocysteine	C00155	HMDB00742	NC(CCS)C(O)=O
2-Deoxyguanosine 5-diphosphate	dGDP	C00361	HMDB00960	NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O2)C(=O)N1
Adenosine diphosphate	ADP	C00008	HMDB01341	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
Phosphoenolpyruvic acid	Phosphoenolpyruvic acid	 C00074	HMDB00263	OC(=O)C(=C)OP(O)(O)=O
Deoxyadenosine diphosphate	dADP	 C00206	HMDB01508	NC1=NC=NC2=C1N=CN2C1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O1
Cytidine 5-diphosphate	CDP	C00112	HMDB01546	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
Malonyl coenzyme A	Malonyl-CoA	C00083	HMDB01175	CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(O)=O
5-Methoxy-3-indoleacetic acid	5-Methoxyindoleacetate	C05660	HMDB04096	COC1=CC2=C(NC=C2CC(O)=O)C=C1
Hippuric acid	Hippuric acid	C01586	HMDB00714	OC(=O)CNC(=O)C1=CC=CC=C1
Citraconic acid	Citraconic acid	C02226	HMDB00634	C\C(=C\C(O)=O)C(O)=O
Porphobilinogen	Porphobilinogen	C00931	HMDB00245	NCC1=C(CC(O)=O)C(CCC(O)=O)=CN1
1-Methyl-L-histidine	1-Methylhistidine	C01152	HMDB00001	CN1C=NC(C[C@H](N)C(O)=O)=C1
D-Xylose	D-Xylose	C00181	HMDB00098	O[C@@H]1COC(O)[C@H](O)[C@H]1O
L-Arabinose	L-Arabinose	C00259	HMDB00646	O[C@H]1COC(O)[C@H](O)[C@H]1O
L-Ribulose	L-Ribulose	C00508	HMDB03371	OCC1(O)OC[C@@H](O)[C@@H]1O
Glucono delta-lactone	Gluconolactone	C00198	HMDB00150	OC[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O
L-a-Aspartyl-L-phenylalanine	Aspartylphenylalanine		HMDB00706	N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O
CDP-ethanolamine	CDP-Ethanolamine	C00570	HMDB01564	NCCOP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(N)=NC1=O
N-a-Acetyl-L-ornithine	N-Acetylornithine	 C00437	HMDB03357	CC(=O)N[C@@H](CCCN)C(O)=O
Guanine	Guanine	C00242	HMDB00132	NC1=NC(=O)C2=C(N1)N=CN2
Indole-3-acetic acid	Indoleacetic acid	C00954	HMDB00197	OC(=O)CC1=CNC2=C1C=CC=C2
D-Glyceraldehyde 3-phosphate	D-Glyceraldehyde 3-phosphate	C00118	HMDB01112	OC(COP(O)(O)=O)C=O
Glycerone phosphate	Dihydroxyacetone phosphate	 C00111	HMDB01473	OCC(=O)COP(O)(O)=O
Phenethylamine	Phenylethylamine	C05332	HMDB12275	NCCC1=CC=CC=C1
3-Aminoisobutyric acid	3-Aminoisobutanoic acid	C05145	HMDB03911	CC(CN)C(O)=O
L-2-Aminobutyric acid	L-Alpha-aminobutyric acid	C02356	HMDB00452	CC[C@H](N)C(O)=O
Acetyl coenzyme A	Acetyl-CoA	C00024	HMDB01206	CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N
N-Acetyl-D-galactosamine	N-Acetylgalactosamine	C01132	HMDB00212	CC(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@H](O)[C@@H]1O
N-Acetyl-D-glucosamine	N-Acetyl-D-glucosamine	C00140	HMDB00215	CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O
DL-5-Hydroxylysine	5-Hydroxylysine	C16741	HMDB00450	NC[C@H](O)CC[C@H](N)C(O)=O
2-Methylglutaric acid	2-Methylglutaric acid		HMDB00422	CC(CCC(O)=O)C(O)=O
3-Methylglutaric acid	Methylglutaric acid		HMDB00752	CC(CC(O)=O)CC(O)=O
"3,5-Diiodo-L-tyrosine"	"3,5-Diiodo-L-tyrosine"	C01060	HMDB03474	N[C@@H](CC1=CC(I)=C(O)C(I)=C1)C(O)=O
Inosine	Inosine	C00294	HMDB00195	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CNC2=O
Cysteamine	Cysteamine	C01678	HMDB02991	NCCS
N-Acetylputrescine	N-Acetylputrescine	C02714	HMDB02064	CC(=O)NCCCCN
PIP2	PIP2	C04637		CCCCCC(OC[C@H](COP(O[C@@H]1[C@H](O)[C@H](O)[C@@H](OP([O-])(O)=O)[C@H](OP([O])(O)=O)[C@H]1O)([O-])=O)OC(CCCCC)=O)=O
(R)-3-Hydroxybutyric acid	(R)-3-Hydroxybutyric acid	C01089	HMDB00011	C[C@@H](O)CC(O)=O
L-Cystine	L-Cystine	C00491	HMDB00192	N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O
3-Aminopiperidin-2-one	3-Amino-2-piperidone		HMDB00323	NC1CCCNC1=O
2-Deoxyinosine	Deoxyinosine	C05512	HMDB00071	OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC2=C1N=CN=C2O
dUTP	Deoxyuridine triphosphate	 C00460	HMDB01191	O[C@H]1C[C@@H](O[C@@H]1COP(O)(=O)OP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O
L-Phenylalanine	L-Phenylalanine	C00079	HMDB00159	N[C@@H](CC1=CC=CC=C1)C(O)=O
Ethylmalonic acid	Ethylmalonic acid		HMDB00622	CCC(C(O)=O)C(O)=O
Glutaric acid	Glutaric acid	C00489	HMDB00661	OC(=O)CCCC(O)=O
L-Arginine	L-Arginine	C00062	HMDB00517	N[C@@H](CCCN=C(N)N)C(O)=O
6-Phosphogluconic acid	6-Phosphogluconic acid	 C00345	HMDB01316	O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O
L-Lysine	L-Lysine	C00047	HMDB00182	NCCCC[C@H](N)C(O)=O
D-Raffinose	Raffinose	C00492	HMDB03213	OC[C@H]1O[C@@](CO)(OC2O[C@H](COC3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
Methylmalonic acid	Methylmalonic acid	C02170	HMDB00202	CC(C(O)=O)C(O)=O
Succinic acid	Succinic acid	C00042	HMDB00254	OC(=O)CCC(O)=O
L-alpha-Glycerophosphorylcholine	Glycerophosphocholine	C00670	HMDB00086	C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](O)CO
UDP-Glucuronate	Uridine diphosphate glucuronic acid	C00167	HMDB00935	O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)O[C@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)C(O)=O)O[C@H]([C@@H]1O)N1C=CC(=O)NC1=O
Metanephrine	Metanephrine	C05588	HMDB04063	CNCC(O)C1=CC(OC)=C(O)C=C1
L-Dihydroorotic acid	"4,5-Dihydroorotic acid"	C00337	HMDB00528	OC(=O)C1CC(=O)NC(=O)N1
Pyruvate	Pyruvic acid	C00022	HMDB00243	CC(=O)C(O)=O
3-Phosphoadenosine 5-phosphosulfate	Phosphoadenosine phosphosulfate	C00053	HMDB01134	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OS(O)(=O)=O)[C@@H](OP(O)(O)=O)[C@H]1O
Coenzyme A	Coenzyme A	C00010	HMDB01423	CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)C(O)C(=O)NCCC(=O)NCCS
3-Hydroxybutyryl coenzyme A	3-Hydroxybutyryl-CoA	C01144	HMDB01166	C[C@@H](O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N
PIP3	"Phosphatidylinositol-3,4,5-trisphosphate"	C05981	HMDB04249	CC(=O)OC(COP(O)(=O)O[C@@H]1[C@H](O)[C@H](OP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@H]1O)OC(C)=O
Dephosphocoenzyme A	Dephospho-CoA	C00882	HMDB01373	CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N)C(O)C(=O)NCCC(=O)NCCS
D-Glycerol 1-phosphate	Glycerol 3-phosphate	C00093	HMDB00126	OC[C@@H](O)COP(O)(O)=O
Norepinephrine	Norepinephrine	C00547	HMDB00216	NC[C@H](O)C1=CC(O)=C(O)C=C1
Pyridoxine	Pyridoxine	C00314	HMDB00239	CC1=NC=C(CO)C(CO)=C1O
Phosphatidic Acid	Phosphatidic acid	C00350		O=P(O)(OC[C@H](OC(=O)CCCCC)COC(=O)CCCCC)O
Dimethylaminopurine	6-Dimethylaminopurine		HMDB00473	CN(C)C1=NC=NC2=C1NC=N2
2-Deoxyadenosine	Deoxyadenosine	C00559	HMDB00101	NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](CO)O1
Indole-3-acetic acid	Indoleacetic acid	C00954	HMDB00197	OC(=O)CC1=CNC2=C1C=CC=C2
Cadaverine	Cadaverine	C01672	HMDB02322	NCCCCCN
Nicotinamide	Niacinamide	C00153	HMDB01406	NC(=O)C1=CN=CC=C1
5-Methoxy-3-indoleacetic acid	5-Methoxyindoleacetate	C05660	HMDB04096	COC1=CC2=C(NC=C2CC(O)=O)C=C1
L-alpha-Glycerophosphorylcholine	Glycerophosphocholine	C00670	HMDB00086	C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](O)CO
Putrescine	Putrescine	C00134	HMDB01414	NCCCCN
3-Ureidopropionic acid	Ureidopropionic acid	C02642	HMDB00026	NC(=O)NCCC(O)=O
L-Asparagine	L-Asparagine	C00152	HMDB00168	N[C@@H](CC(N)=O)C(O)=O
4-Imidazoleacrylic acid	Urocanic acid	C00785	HMDB00301	OC(=O)\C=C\C1=CNC=N1
D-Sedoheptulose 7-phosphate	D-Sedoheptulose 7-phosphate	C05382	HMDB01068	OCC1(O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H](O)[C@@H]1O
Riboflavin 5-monophosphate	Flavin Mononucleotide	C00061	HMDB01520	CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(O)=O)C1=NC(=O)NC(=O)C1=N2
2-Oxoadipic acid	Oxoadipic acid	C00322	HMDB00225	OC(=O)CCCC(=O)C(O)=O
Betaine	Betaine	C00719	HMDB00043	C[N+](C)(C)CC([O-])=O
2-Deoxyadenosine 5-triphosphate	Deoxyadenosine triphosphate	 C00131	HMDB01532	NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1
Epinephrine	Epinephrine	C00788	HMDB00068	CNC[C@H](O)C1=CC=C(O)C(O)=C1
Uric acid	Uric acid	C00366	HMDB00289	O=C1NC2=C(N1)C(=O)NC(=O)N2
O-Phosphorylethanolamine	O-Phosphoethanolamine	C00346	HMDB00224	NCCOP(O)(O)=O
3-Hydroxy-DL-kynurenine	Hydroxykynurenine	C02794	HMDB00732	NC(CC(=O)C1=C(N)C(O)=CC=C1)C(O)=O
Pyruvate	Pyruvic acid	C00022	HMDB00243	CC(=O)C(O)=O
