Query	HMDB	ChEBI	KEGG	SMILES
Isobutyrylglycine	HMDB0000730	70979	NA	CC(C)C(=O)NCC(O)=O
Isocitric acid	HMDB0000193	30887	C00311	OC(C(CC(O)=O)C(O)=O)C(O)=O
Isomaltose	HMDB0002923	4808	C05400	OC[C@H]1O[C@H](OC[C@H]2O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
Isovaleric acid	HMDB0000718	28484	C08262	CC(C)CC(=O)O
Isovaleryl-CoA	HMDB0001113	15487	C02939	CC(C)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O
Isovalerylglycine	HMDB0000678	70984	NA	CC(C)CC(=O)NCC(O)=O
Ketoleucine	HMDB0000695	48430	C00233	CC(C)CC(=O)C(O)=O
L-2-Hydroxyglutaric acid	HMDB0000694	32797	C03196	O[C@@H](CCC(O)=O)C(O)=O
L-Acetylcarnitine	HMDB0000201	NA	C02571	CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
L-Alanine	HMDB0000161	16977	C00041	C[C@H](N)C(O)=O
L-Alloisoleucine	HMDB0000557	43433	NA	CC[C@@H](C)[C@H](N)C(O)=O
L-Alpha-aminobutyric acid	HMDB0000452	35619	C02356	CC[C@@H](C(=O)O)N
L-Arabinose	HMDB0000646	17535	C00259	O[C@H]1COC(O)[C@H](O)[C@H]1O
L-Arabitol	HMDB0001851	18403	C00532	OC[C@H](O)C(O)[C@@H](O)CO
L-Arginine	HMDB0000517	16467	C00062	N[C@@H](CCCNC(N)=N)C(O)=O
L-Asparagine	HMDB0000168	17196	C00152	N[C@@H](CC(N)=O)C(O)=O
L-Aspartic acid	HMDB0000191	17053	C00049	N[C@@H](CC(O)=O)C(O)=O
L-Carnitine	HMDB0000062	16347	C00318	C[N+](C)(C)C[C@H](O)CC([O-])=O
L-Cystathionine	HMDB0000099	17482	C02291	N[C@@H](CCSC[C@H](N)C(O)=O)C(O)=O
L-Cysteine	HMDB0000574	17561	C00097	N[C@@H](CS)C(O)=O
L-Cystine	HMDB0000192	16283	C00491	N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O
Leucinic acid	HMDB0000665	59783	NA	CC(C)CC(C(=O)O)O
L-Fucose	HMDB0000174	62346	C01019	C[C@H]1[C@H]([C@H]([C@@H](C(O1)O)O)O)O
L-Glutamic acid	HMDB0000148	16015	C00025	N[C@@H](CCC(O)=O)C(O)=O
L-Glutamine	HMDB0000641	18050	C00064	N[C@@H](CCC(N)=O)C(O)=O
L-Gulonolactone	HMDB0003466	17587	C01040	[H][C@@]1(OC(=O)[C@@H](O)[C@H]1O)[C@@H](O)CO
L-Histidine	HMDB0000177	15971	C00135	N[C@@H](CC1=CN=CN1)C(O)=O
L-Isoleucine	HMDB0000172	17191	C00407	CC[C@H](C)[C@@H](C(=O)O)N
L-Kynurenine	HMDB0000684	16946	C00328	N[C@@H](CC(=O)C1=CC=CC=C1N)C(O)=O
L-Lactic acid	HMDB0000190	422	C00186	C[C@H](O)C(O)=O
L-Leucine	HMDB0000687	15603	C00123	CC(C)C[C@H](N)C(O)=O
L-Lysine	HMDB0000182	18019	C00047	NCCCC[C@H](N)C(O)=O
L-Malic acid	HMDB0000156	30797	C00149	O[C@@H](CC(O)=O)C(O)=O
L-Methionine	HMDB0000696	16643	C00073	CSCC[C@H](N)C(O)=O
L-Phenylalanine	HMDB0000159	17295	C00079	N[C@@H](CC1=CC=CC=C1)C(O)=O
L-Proline	HMDB0000162	17203	C00148	OC(=O)[C@@H]1CCCN1
L-Ribulose	HMDB0003371	16880	C00508	OC[C@]1(O)OC[C@H](O)[C@@H]1O
L-Serine	HMDB0000187	17115	C00065	N[C@@H](CO)C(O)=O
L-Threonine	HMDB0000167	16857	C00188	C[C@@H](O)[C@H](N)C(O)=O
L-Tryptophan	HMDB0000929	16828	C00078	N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O
L-Tyrosine	HMDB0000158	17895	C00082	N[C@@H](CC1=CC=C(O)C=C1)C(O)=O
L-Valine	HMDB0000883	16414	C00183	CC(C)[C@H](N)C(O)=O
Maleic acid	HMDB0000176	18300	C01384	OC(=O)\C=C/C(O)=O
Malonyl-CoA	HMDB0001175	15531	C00083	CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(=O)O)O
Mandelic acid	HMDB0000703	32800	C01984	O[C@H](C(O)=O)C1=CC=CC=C1
Mannose 6-phosphate	HMDB0001078	49728	C00275	O[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H]1O
Melibiose	HMDB0000048	4808	C05402	OC[C@H]1O[C@H](OC[C@H]2O[C@H](O)[C@H](O)[C@@H](O)[C@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O
Metanephrine	HMDB0004063	144365	C05588	CNCC(O)C1=CC(OC)=C(O)C=C1
Methylglutaric acid	HMDB0000752	68566	NA	CC(CC(=O)O)CC(=O)O
Methylmalonic acid	HMDB0000202	30860	C02170	CC(C(=O)O)C(=O)O
Myoinositol	HMDB0000211	17268	C00137	O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O
N5-Formyl-THF	HMDB01562	209153	C03479	C1C(N(C2=C(N1)NC(=NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
N6-Acetyl-L-lysine	HMDB0000206	17752	C02727	CC(=O)NCCCC[C@H](N)C(O)=O
N-Acetylaspartylglutamic acid	HMDB0001067	73688	C12270	CC(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(O)=O
N-Acetyl-D-glucosamine	HMDB0000215	506227	C00140	CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O
N-Acetyl-D-Glucosamine 6-Phosphate	HMDB0001062	15784	C00357	CC(=O)N[C@H]1C(O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O
N-Acetylgalactosamine	HMDB0000212	40356	C01074	CC(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@H](O)[C@@H]1O
N-Acetyl-glucosamine 1-phosphate	HMDB0001367	7125	C04501	CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](OC1OP(=O)(O)O)CO)O)O
N-Acetylglutamic acid	HMDB0001138	17533	C00624	CC(=O)N[C@@H](CCC(O)=O)C(O)=O
N-Acetyl-L-alanine	HMDB0000766	40992	NA	C[C@H](NC(C)=O)C(O)=O
N-Acetyl-L-aspartic acid	HMDB0000812	21547	C01042	CC(=O)N[C@@H](CC(O)=O)C(O)=O
N-Acetylmannosamine	HMDB0001129	63154	C00645	CC(=O)N[C@@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O
N-Acetylmuramate	HMDB0060493	21615	C02713	[H][C@](C)(O[C@@]1([H])[C@]([H])(O)[C@@]([H])(CO)OC([H])(O)[C@]1([H])N=C(C)O)C(O)=O
N-Acetylneuraminic acid	HMDB0000230	45744	C19910	[H][C@]1(O[C@@](O)(C[C@H](O)[C@H]1NC(C)=O)C(O)=O)[C@H](O)[C@H](O)CO
N-Acetylornithine	HMDB0003357	16543	C00437	CC(=O)N[C@@H](CCCN)C(O)=O
N-Acetylputrescine	HMDB0002064	17768	C02714	CC(=O)NCCCCN
N-Acetylserotonin	HMDB0001238	17697	C00978	CC(=O)NCCC1=CNC2=C1C=C(O)C=C2
NAD	HMDB0001487	16908	C00004	NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O
NADH	HMDB0000902	44215	C00003	NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP([O-])(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O
NADP	HMDB0000217	44409	C00006	NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP([O-])(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](OP(O)(O)=O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O
NADPH	HMDB0000217	44409	C00006	NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP([O-])(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](OP(O)(O)=O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O
N-Alpha-acetyllysine	HMDB0000446	35704	C12989	CC(=O)NC(CCCCN)C(=O)O
N-Glycolylneuraminic acid	HMDB0000833	62084	C03410	OC[C@@H](O)[C@@H](O)[C@@H]1O[C@@](O)(C[C@H](O)[C@H]1NC(=O)CO)C(O)=O
NHD	NA	NA	NA	NA
Niacinamide	HMDB0001406	17154	C00153	NC(=O)C1=CC=CN=C1
Nicotinamide ribotide	HMDB0000229	16171	C00455	NC(=O)C1=CC=C[N+](=C1)[C@@H]1O[C@H](COP(O)([O-])=O)[C@@H](O)[C@H]1O
Nicotinic acid	HMDB0001488	15940	C00253	OC(=O)C1=CN=CC=C1
Norepinephrine	HMDB0000216	18357	C00547	NC[C@H](O)C1=CC(O)=C(O)C=C1
Octanoyl-CoA	HMDB0001070	15533	C01944	CCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O
O-Phosphoethanolamine	HMDB0000224	17553	C00346	NCCOP(O)(O)=O
Orotic acid	HMDB0000226	16742	C00295	OC(=O)C1=CC(=O)NC(=O)N1
Orotidylic acid	HMDB0000218	15842	C01103	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C(=O)NC(=O)C=C1C(O)=O
Ortho-Hydroxyphenylacetic acid	HMDB0000669	28478	C05852	OC(=O)CC1=C(O)C=CC=C1
Oxalacetic acid	HMDB0000223	30744	C00036	O=C(O)CC(=O)C(=O)O
Oxidized glutathione	HMDB0003337	17858	C00127	N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O)C(=O)NCC(O)=O)C(O)=O
Oxitriptan	HMDB0015571	17780	C00643	C1=CC2=C(C=C1O)C(=CN2)C[C@@H](C(=O)O)N
Oxoadipic acid	HMDB0000225	15753	C00322	O=C(O)CCCC(=O)C(=O)O
Oxoglutaric acid	HMDB0000208	30915	C00026	OC(=O)CCC(=O)C(O)=O
Pantothenic acid	HMDB0000210	46905	C00864	CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O
Phenylethylamine	HMDB0012275	18397	C05332	NCCC1=CC=CC=C1
Phosphatidic acid	NA	NA	C00350	O=P(O)(OC[C@H](OC(=O)CCCCC)COC(=O)CCCCC)O
Phosphatidylcholine	NA	NA	C00157	O=C(OCC(OC(=O)CC)COP([O-])(=O)OCC[N+](C)(C)C)CC
Phosphatidylethanolamine	HMDB0060501	47767	NA	[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCCCCCCCCC
Phosphatidylglycerol	METPA0033	17517	C00344	NA
"Phosphatidylinositol-3,4,5-trisphosphate"	HMDB0004249	16618	C05981	CC(=O)OC(COP(O)(=O)O[C@@H]1[C@H](O)[C@H](OP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@H]1O)OC(C)=O
Phosphoadenosine phosphosulfate	HMDB0001134	17980	C00053	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OS(O)(=O)=O)[C@@H](OP(O)(O)=O)[C@H]1O
Phosphocreatine	HMDB0001511	17287	C02305	CN(CC(O)=O)C(=N)NP(O)(O)=O
Phosphoenolpyruvic acid	HMDB0000263	44897	C00074	OC(=O)C(=C)OP(O)(O)=O
Phosphoribosyl pyrophosphate	HMDB0000280	17111	C00119	O[C@H]1[C@@H](O)[C@@H](OP(O)(=O)OP(O)(O)=O)O[C@@H]1COP(O)(O)=O
Phosphorylcholine	HMDB0001565	18132	C00588	C[N+](C)(C)CCOP(O)(O)=O
Phosphoserine	HMDB0000272	15811	C01005	N[C@@H](COP(O)(O)=O)C(O)=O
p-Hydroxyphenylacetic acid	HMDB0000020	18101	C00642	OC(=O)CC1=CC=C(O)C=C1
PIP2	NA	NA	C04637	CCCCCC(OC[C@H](COP(O[C@@H]1[C@H](O)[C@H](O)[C@@H](OP([O-])(O)=O)[C@H](OP([O])(O)=O)[C@H]1O)([O-])=O)OC(CCCCC)=O)=O
Porphobilinogen	HMDB0000245	17381	C00931	NCC1=C(CC(O)=O)C(CCC(O)=O)=CN1
Propionyl-CoA	HMDB0001275	15539	C00100	CCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O
Propionylglycine	HMDB0000783	89836	NA	CCC(=O)NCC(O)=O
Prostaglandin D2	HMDB0001403	15555	C00696	CCCCC[C@@H](/C=C/[C@@H]1[C@H]([C@H](CC1=O)O)C/C=C\CCCC(=O)O)O
Prostaglandin E2	HMDB0001220	15551	C00584	CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1C/C=C\CCCC(=O)O)O)O
Prostaglandin I2	HMDB0001335	15552	C01312	CCCCC[C@@H](/C=C/[C@H]1[C@@H](C[C@H]2[C@@H]1C/C(=C/CCCC(=O)O)/O2)O)O
PS(16:0/16:0)	HMDB0000614	84523	C02737	CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OC[C@@H](C(=O)O)N)OC(=O)CCCCCCCCCCCCCCC
Putrescine	HMDB0001414	17148	C00134	NCCCCN
Pyridoxal	HMDB0001545	17310	C00250	CC1=NC=C(CO)C(C=O)=C1O
Pyridoxal 5'-phosphate	HMDB0001491	18405	C00018	CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O
Pyridoxamine	HMDB0001431	16410	C00534	CC1=C(O)C(CN)=C(CO)C=N1
Pyridoxamine 5'-phosphate	HMDB0001555	18335	C00647	CC1=NC=C(COP(O)(O)=O)C(CN)=C1O
Pyridoxine	HMDB0000239	16709	C00314	CC1=C(O)C(CO)=C(CO)C=N1
Pyroglutamic acid	HMDB0000267	18183	C01879	OC(=O)[C@@H]1CCC(=O)N1
Pyrrolidonecarboxylic acid	HMDB0000805	16924	C02237	OC(=O)C1CCC(=O)N1
Pyruvic acid	HMDB0000243	32816	C00022	CC(=O)C(=O)O
Quinolinic acid	HMDB0000232	16675	C03722	OC(=O)C1=CC=CN=C1C(O)=O
Raffinose	HMDB0003213	16634	C00492	OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
Riboflavin	HMDB0000244	17015	C00255	CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1
Ribose 1-phosphate	HMDB0001489	16300	C00620	OC[C@H]1O[C@H](OP(O)(O)=O)[C@H](O)[C@@H]1O
Ribothymidine	HMDB0000884	45996	NA	CC1=CN([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)NC1=O
Saccharopine	HMDB0000279	16927	C00449	N[C@@H](CCCCN[C@@H](CCC(O)=O)C(O)=O)C(O)=O
S-Adenosylhomocysteine	HMDB0000939	16680	C00021	N[C@@H](CCSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N)C(O)=O
S-Adenosylmethionine	HMDB0001185	15414	C00019	C[S+](CC[C@H](N)C(O)=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N
Sarcosine	HMDB0000271	15611	C00213	CNCC(O)=O
Senecioic acid	HMDB0000509	37127	NA	CC(=CC(=O)O)C
S-Lactoylglutathione	HMDB0001066	15694	C03451	C[C@@H](O)C(=O)SC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O
Stachyose	HMDB0003553	17164	C01613	OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO[C@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
Succinic acid	HMDB0000254	15741	C00042	O=C(O)CCC(=O)O
Succinylacetone	HMDB0000635	87897	NA	CC(=O)CC(=O)CCC(O)=O
Succinyl-CoA	HMDB0001022	15380	C00091	CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CCC(=O)O)O
Sucrose	HMDB0000258	17992	C00089	OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
Taurine	HMDB0000251	15891	C00245	NCCS(O)(=O)=O
Thiamine	HMDB0000235	18385	C00378	CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N
Thiamine monophosphate	HMDB0002666	37574	C01081	CC1=C(CCOP(O)([O-])=O)SC=[N+]1CC1=CN=C(C)N=C1N
Thiamine pyrophosphate	HMDB0001372	9532	C00068	CC1=C(CCOP(O)(=O)OP(O)(O)=O)SC=[N+]1CC1=CN=C(C)N=C1N
Thymidine	HMDB0000273	17748	C00214	CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O
Thymidine 5'-triphosphate	HMDB0001342	18077	C00459	CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O2)C(=O)NC1=O
Thymine	HMDB0000262	17821	C00178	CC1=CNC(=O)NC1=O
Trehalose	HMDB0000975	16551	C01083	OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
Tyramine	HMDB0000306	15760	C00483	NCCC1=CC=C(O)C=C1
Ureidoisobutyric acid	HMDB0002031	1670	C05100	C[C@@H](CNC(N)=O)C(O)=O
Ureidopropionic acid	HMDB0000026	18261	C02642	NC(=O)NCCC(O)=O
Uric acid	HMDB0000289	17775	C00366	O=C1NC2=C(N1)C(=O)NC(=O)N2
Uridine	HMDB0000296	16704	C00299	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O
Uridine 5'-diphosphate	HMDB0000295	17659	C00015	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O
Uridine 5'-monophosphate	HMDB0000288	16695	C00105	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O
Uridine diphosphate glucuronic acid	HMDB0000935	17200	C00167	O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)O[C@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)C(O)=O)O[C@H]([C@@H]1O)N1C=CC(=O)NC1=O
Uridine diphosphategalactose	HMDB0000302	67119	C00052	OC[C@H]1O[C@H](O[P@@](O)(=O)O[P@@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@H]1O
Uridine diphosphate-N-acetylgalactosamine	HMDB0000304	NA	C00203	CC(O)=NC1C(OP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2O)N2C=CC(O)=NC2=O)OC(CO)C(O)C1O
Uridine diphosphate-N-acetylglucosamine	HMDB0000290	16264	C00043	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1OP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O
Uridine triphosphate	HMDB0000285	15713	C00075	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O
Urocanic acid	HMDB0000301	30817	C00785	OC(=O)\C=C\C1=CNC=N1
Vanillylmandelic acid	HMDB0000291	1127735	C05584	COC1=C(O)C=CC(=C1)[C@H](O)C(O)=O
Xanthine	HMDB0000292	17712	C00385	O=C1NC2=C(NC=N2)C(=O)N1
Xanthosine	HMDB0000299	18107	C01762	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=C(O)N=C2O
Xanthurenic acid	HMDB0000881	10072	C02470	OC(=O)C1=NC2=C(O)C=CC=C2C(O)=C1
Xanthylic acid	HMDB0001554	15652	C00655	O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1NC(=O)NC2=O
Xylulose 5-phosphate	HMDB0000868	16332	C00231	OCC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O
