Metabolite	Query_protein	Protein_name	Gene_ID	Uniprot_ID	Protein_complex	log2_abundance	log2_abundance_corrected	met_mean	met_sd	p_value	q_value	Common_metabolite_name	MIDAS_ID	Pool	Screened_concentration_µM	KEGG_ID	HMDB_ID	SMILES_metabolite	KEGG_pathway_association
"3,5-Diiodo-L-tyrosine"	ALDOC	Fructose-bisphosphate aldolase C	ALDOC	P09972		0.155433218	0.292567497	-0.013987939	0.09274735	0.000948835	0.017970376	"3,5-Diiodo-L-tyrosine"	20C_28	2	50	C01060	HMDB03474	N[C@@H](CC1=CC(I)=C(O)C(I)=C1)C(O)=O	Tyrosine metabolism;Thyroid hormone synthesis
Inosine	ALDOC	Fructose-bisphosphate aldolase C	ALDOC	P09972		-0.395478082	-0.353827183	0.044458394	0.122405268	0.001138616	0.021054492	Inosine	I_4	1	50	C00294	HMDB00195	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CNC2=O	Purine metabolism;ABC transporters
Cysteamine	ALDOC	Fructose-bisphosphate aldolase C	ALDOC	P09972		-0.566961342	-0.369469252	-0.00705031	0.111754832	0.001182856	0.021704863	Cysteamine	4C_39	1	500	C01678	HMDB02991	NCCS	Taurine and hypotaurine metabolism
N-Acetylputrescine	ALDOC	Fructose-bisphosphate aldolase C	ALDOC	P09972		-0.139071509	0.646319991	-0.022893651	0.209171361	0.00137735	0.024665094	N-Acetylputrescine	4C_35	2	16.7	C02714	HMDB02064	CC(=O)NCCCCN	Arginine and proline metabolism
PIP2	ALDOC	Fructose-bisphosphate aldolase C	ALDOC	P09972		-0.165177388	0.771813149	0.012303089	0.241681883	0.001674531	0.029023316	PIP2	Cay_8	4	50	C04637		CCCCCC(OC[C@H](COP(O[C@@H]1[C@H](O)[C@H](O)[C@@H](OP([O-])(O)=O)[C@H](OP([O])(O)=O)[C@H]1O)([O-])=O)OC(CCCCC)=O)=O	Inositol phosphate metabolism;Phosphatidylinositol signaling system;Phospholipase D signaling pathway;Endocytosis;PI3K-Akt signaling pathway;Focal adhesion;Fc gamma R-mediated phagocytosis;Leukocyte transendothelial migration;Cholinergic synapse;Regulation of actin cytoskeleton;GnRH secretion;Shigellosis;Yersinia infection
(R)-3-Hydroxybutyric acid	ALDOC	Fructose-bisphosphate aldolase C	ALDOC	P09972		-0.139442423	0.313171887	-0.04086781	0.113378107	0.001792332	0.030580634	(R)-3-Hydroxybutyric acid	CNC_153	2	50	C01089	HMDB00011	C[C@@H](O)CC(O)=O	Synthesis and degradation of ketone bodies;Butanoate metabolism;cAMP signaling pathway
L-Cystine	ALDOC	Fructose-bisphosphate aldolase C	ALDOC	P09972		-1.126602099	-0.577128989	0.012812008	0.19419844	0.002382918	0.038479881	L-Cystine	C_9	2	50	C00491	HMDB00192	N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O	Cysteine and methionine metabolism;ABC transporters;Ferroptosis;Protein digestion and absorption
3-Aminopiperidin-2-one	ALDOC	Fructose-bisphosphate aldolase C	ALDOC	P09972		-0.120550287	0.164730757	-0.014237148	0.059357133	0.002568915	0.040702475	3-Amino-2-piperidone	CNC_119	1	50		HMDB00323	NC1CCCNC1=O	
2-Deoxyinosine	ALDOC	Fructose-bisphosphate aldolase C	ALDOC	P09972		-0.804083279	-0.445234614	0.012412133	0.152687263	0.002723988	0.042726395	Deoxyinosine	20C_24	2	50	C05512	HMDB00071	OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC2=C1N=CN=C2O	Purine metabolism;ABC transporters
dUTP	ALDOC	Fructose-bisphosphate aldolase C	ALDOC	P09972		-1.45788745	1.153645721	0.13566916	0.340461916	0.002789897	0.043555036	Deoxyuridine triphosphate	20C_81	4	50	 C00460	HMDB01191	O[C@H]1C[C@@H](O[C@@H]1COP(O)(=O)OP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O	Pyrimidine metabolism
L-Phenylalanine	ALDOC	Fructose-bisphosphate aldolase C	ALDOC	P09972		-0.163514417	0.10978743	-0.008888518	0.040138534	0.003109921	0.047600306	L-Phenylalanine	P_6	3	50	C00079	HMDB00159	N[C@@H](CC1=CC=CC=C1)C(O)=O	"Phenylalanine metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;Aminoacyl-tRNA biosynthesis;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;ABC transporters;Protein digestion and absorption;Mineral absorption;Central carbon metabolism in cancer"
Ethylmalonic acid	ALDOC	Fructose-bisphosphate aldolase C	ALDOC	P09972		-0.15476825	0.151322389	-0.015899325	0.056937358	0.003314662	0.050024284	Ethylmalonic acid	CNC_156	3	50		HMDB00622	CCC(C(O)=O)C(O)=O	
Glutaric acid	ALDOC	Fructose-bisphosphate aldolase C	ALDOC	P09972		-0.15476825	0.151322389	-0.015899325	0.056937358	0.003314662	0.050024284	Glutaric acid	CNC_5	3	50	C00489	HMDB00661	OC(=O)CCCC(O)=O	Fatty acid degradation;Lysine degradation
L-Arginine	ALDOC	Fructose-bisphosphate aldolase C	ALDOC	P09972		-0.228869733	0.095159535	-0.020450941	0.040359493	0.00417645	0.060082365	L-Arginine	A_15	3	50	C00062	HMDB00517	N[C@@H](CCCN=C(N)N)C(O)=O	Arginine biosynthesis;Arginine and proline metabolism;D-Arginine and D-ornithine metabolism;Aminoacyl-tRNA biosynthesis;Biosynthesis of amino acids;ABC transporters;mTOR signaling pathway;Protein digestion and absorption;Amyotrophic lateral sclerosis (ALS);Chagas disease (American trypanosomiasis);Amoebiasis;Central carbon metabolism in cancer
6-Phosphogluconic acid	ALDOC	Fructose-bisphosphate aldolase C	ALDOC	P09972		-2.393430757	-0.840290436	0.03061161	0.304151319	0.004191421	0.060229861	6-Phosphogluconic acid	20C_61	4	50	 C00345	HMDB01316	O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O	Pentose phosphate pathway;Carbon metabolism
L-Lysine	ALDOC	Fructose-bisphosphate aldolase C	ALDOC	P09972		-0.209629927	0.104884635	-0.025374282	0.045847588	0.004495411	0.063664651	L-Lysine	L_3	3	50	C00047	HMDB00182	NCCCC[C@H](N)C(O)=O	Lysine degradation;Biotin metabolism;Aminoacyl-tRNA biosynthesis;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;ABC transporters;Protein digestion and absorption
D-Raffinose	ALDOC	Fructose-bisphosphate aldolase C	ALDOC	P09972		-0.595869908	-0.38775593	-0.017669016	0.130428143	0.004547156	0.064150163	Raffinose	R_1	2	50	C00492	HMDB03213	OC[C@H]1O[C@@](CO)(OC2O[C@H](COC3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O	Galactose metabolism;ABC transporters
Methylmalonic acid	ALDOC	Fructose-bisphosphate aldolase C	ALDOC	P09972		-0.226824573	0.122043536	-0.016125095	0.04904253	0.004842585	0.067652287	Methylmalonic acid	M_5	3	50	C02170	HMDB00202	CC(C(O)=O)C(O)=O	"Pyrimidine metabolism;Valine, leucine and isoleucine degradation;Propanoate metabolism"
Succinic acid	ALDOC	Fructose-bisphosphate aldolase C	ALDOC	P09972		-0.226824573	0.122043536	-0.016125095	0.04904253	0.004842585	0.067652287	Succinic acid	S_1	3	50	C00042	HMDB00254	OC(=O)CCC(O)=O	"Citrate cycle (TCA cycle);Oxidative phosphorylation;Alanine, aspartate and glutamate metabolism;Lysine degradation;Tyrosine metabolism;Phenylalanine metabolism;Pyruvate metabolism;Glyoxylate and dicarboxylate metabolism;Propanoate metabolism;Butanoate metabolism;Nicotinate and nicotinamide metabolism;Sulfur metabolism;Carbon metabolism;cAMP signaling pathway;GABAergic synapse;Glucagon signaling pathway;Central carbon metabolism in cancer"
L-alpha-Glycerophosphorylcholine	ALDOC	Fructose-bisphosphate aldolase C	ALDOC	P09972		-0.376858665	0.70737922	0.134369768	0.203955329	0.004962082	0.068864329	Glycerophosphocholine	CNC_79	1	50	C00670	HMDB00086	C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](O)CO	Glycerophospholipid metabolism;Ether lipid metabolism;Choline metabolism in cancer
UDP-Glucuronate	ALDOC	Fructose-bisphosphate aldolase C	ALDOC	P09972		-0.732949964	-0.342031675	-0.013735223	0.119387668	0.005962518	0.079297662	Uridine diphosphate glucuronic acid	CNC_93	2	50	C00167	HMDB00935	O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)O[C@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)C(O)=O)O[C@H]([C@@H]1O)N1C=CC(=O)NC1=O	Pentose and glucuronate interconversions;Ascorbate and aldarate metabolism;Amino sugar and nucleotide sugar metabolism
Metanephrine	ALDOC	Fructose-bisphosphate aldolase C	ALDOC	P09972		-0.091528074	0.599017101	-0.038759675	0.234632397	0.0065639	0.085439732	Metanephrine	4C_44	2	16.7	C05588	HMDB04063	CNCC(O)C1=CC(OC)=C(O)C=C1	Tyrosine metabolism
L-Dihydroorotic acid	ALDOC	Fructose-bisphosphate aldolase C	ALDOC	P09972		-0.279328852	0.311986557	0.031261842	0.103804774	0.006843762	0.08814033	"4,5-Dihydroorotic acid"	D_12	3	50	C00337	HMDB00528	OC(=O)C1CC(=O)NC(=O)N1	Pyrimidine metabolism
Pyruvate	CS	"Citrate synthase, mitochondrial"	CS	O75390		0.496222757	0.544330234	-0.015535877	0.058655804	1.36E-21	2.31E-19	Pyruvic acid	4C_1	3	500	C00022	HMDB00243	CC(=O)C(O)=O	"Glycolysis / Gluconeogenesis;Citrate cycle (TCA cycle);Pentose phosphate pathway;Pentose and glucuronate interconversions;Ascorbate and aldarate metabolism;Alanine, aspartate and glutamate metabolism;Glycine, serine and threonine metabolism;Cysteine and methionine metabolism;Valine, leucine and isoleucine biosynthesis;Arginine and proline metabolism;Tyrosine metabolism;Phenylalanine metabolism;Taurine and hypotaurine metabolism;Phosphonate and phosphinate metabolism;Pyruvate metabolism;Glyoxylate and dicarboxylate metabolism;Butanoate metabolism;Thiamine metabolism;Nicotinate and nicotinamide metabolism;Pantothenate and CoA biosynthesis;Terpenoid backbone biosynthesis;Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;HIF-1 signaling pathway;AMPK signaling pathway;Insulin secretion;Glucagon signaling pathway;Type II diabetes mellitus;Insulin resistance;Central carbon metabolism in cancer"
3-Phosphoadenosine 5-phosphosulfate	CS	"Citrate synthase, mitochondrial"	CS	O75390		0.63233764	0.66377477	-0.025817807	0.137754292	5.56E-07	2.43E-05	Phosphoadenosine phosphosulfate	70C_1	4	50	C00053	HMDB01134	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OS(O)(=O)=O)[C@@H](OP(O)(O)=O)[C@H]1O	Purine metabolism;Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate;Glycosaminoglycan biosynthesis - heparan sulfate / heparin;Sulfur metabolism
Coenzyme A	CS	"Citrate synthase, mitochondrial"	CS	O75390		3.748430641	2.433984253	0.103740941	0.581720562	6.18E-05	0.001719091	Coenzyme A	CNC_97	4	50	C00010	HMDB01423	CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)C(O)C(=O)NCCC(=O)NCCS	Fatty acid degradation;Pantothenate and CoA biosynthesis;Ferroptosis;Thermogenesis;Cholinergic synapse;Fat digestion and absorption;Vitamin digestion and absorption
3-Hydroxybutyryl coenzyme A	CS	"Citrate synthase, mitochondrial"	CS	O75390		0.11754539	0.905403459	0.065603054	0.247912452	0.000705359	0.01412026	3-Hydroxybutyryl-CoA	CNC_63	4	50	C01144	HMDB01166	C[C@@H](O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N	Fatty acid degradation;Lysine degradation;Tryptophan metabolism;Butanoate metabolism;Carbon metabolism;Fatty acid metabolism
PIP3	CS	"Citrate synthase, mitochondrial"	CS	O75390		-1.433196374	-0.885232536	0.030539765	0.278107342	0.000991691	0.01862545	"Phosphatidylinositol-3,4,5-trisphosphate"	Cay_9	4	50	C05981	HMDB04249	CC(=O)OC(COP(O)(=O)O[C@@H]1[C@H](O)[C@H](OP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@H]1O)OC(C)=O	Inositol phosphate metabolism;EGFR tyrosine kinase inhibitor resistance;ErbB signaling pathway;Ras signaling pathway;Chemokine signaling pathway;FoxO signaling pathway;Phosphatidylinositol signaling system;Sphingolipid signaling pathway;Phospholipase D signaling pathway;Autophagy - animal;Endocytosis;mTOR signaling pathway;PI3K-Akt signaling pathway;AMPK signaling pathway;Apoptosis;Longevity regulating pathway;Longevity regulating pathway - multiple species;Cellular senescence;VEGF signaling pathway;Focal adhesion;Platelet activation;Natural killer cell mediated cytotoxicity;T cell receptor signaling pathway;B cell receptor signaling pathway;Fc epsilon RI signaling pathway;Fc gamma R-mediated phagocytosis;Neurotrophin signaling pathway;Regulation of actin cytoskeleton;Insulin signaling pathway;Progesterone-mediated oocyte maturation;Prolactin signaling pathway;Thyroid hormone signaling pathway;Relaxin signaling pathway;Insulin resistance;Aldosterone-regulated sodium reabsorption;Carbohydrate digestion and absorption;Alzheimer disease;Shigellosis;Salmonella infection;Yersinia infection;Chagas disease (American trypanosomiasis);Toxoplasmosis;Hepatitis C;Measles;Human cytomegalovirus infection;Influenza A;Human papillomavirus infection;Human T-cell leukemia virus 1 infection;Kaposi sarcoma-associated herpesvirus infection;Herpes simplex virus 1 infection;Epstein-Barr virus infection;Human immunodeficiency virus 1 infection;Pathways in cancer;Colorectal cancer;Pancreatic cancer;Endometrial cancer;Glioma;Prostate cancer;Melanoma;Chronic myeloid leukemia;Acute myeloid leukemia;Small cell lung cancer;Non-small cell lung cancer;Breast cancer;Hepatocellular carcinoma;Gastric cancer;Choline metabolism in cancer;PD-L1 expression and PD-1 checkpoint pathway in cancer
Dephosphocoenzyme A	CS	"Citrate synthase, mitochondrial"	CS	O75390		2.551042671	1.644671037	-0.082592519	0.552668108	0.00177613	0.030398825	Dephospho-CoA	CNC_18	4	50	C00882	HMDB01373	CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N)C(O)C(=O)NCCC(=O)NCCS	Pantothenate and CoA biosynthesis
D-Glycerol 1-phosphate	E1-PDH	"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial"	PDHA1	P08559	?	-4.393273313	-4.221077488	0.006606419	0.044913209	0	0	Glycerol 3-phosphate	CNC_158	3	50	C00093	HMDB00126	OC[C@@H](O)COP(O)(O)=O	Glycerolipid metabolism;Glycerophospholipid metabolism;ABC transporters;Choline metabolism in cancer
Norepinephrine	E1-PDH	"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial"	PDHA1	P08559	?	-1.429074538	-0.328245807	0.044099791	0.073690781	4.35E-07	1.95E-05	Norepinephrine	CNC_95	1	50	C00547	HMDB00216	NC[C@H](O)C1=CC(O)=C(O)C=C1	Tyrosine metabolism;cAMP signaling pathway;Neuroactive ligand-receptor interaction;Adrenergic signaling in cardiomyocytes;Vascular smooth muscle contraction;Gap junction;Thermogenesis;Synaptic vesicle cycle;Taste transduction;Regulation of lipolysis in adipocytes;Renin secretion;Salivary secretion
Pyridoxine	E1-PDH	"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial"	PDHA1	P08559	?	-1.429074538	-0.328245807	0.044099791	0.073690781	4.35E-07	1.95E-05	Pyridoxine	P_11	1	50	C00314	HMDB00239	CC1=NC=C(CO)C(CO)=C1O	Vitamin B6 metabolism
Phosphatidic Acid	E1-PDH	"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial"	PDHA1	P08559	?	-1.308816407	-1.144951812	0.07370055	0.275312084	9.58E-06	0.000329331	Phosphatidic acid	AVL_2	4	50	C00350		O=P(O)(OC[C@H](OC(=O)CCCCC)COC(=O)CCCCC)O	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis;Glycerophospholipid metabolism;Autophagy - other;Autophagy - animal;Retrograde endocannabinoid signaling;Pathogenic Escherichia coli infection;Kaposi sarcoma-associated herpesvirus infection
Dimethylaminopurine	E1-PDH	"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial"	PDHA1	P08559	?	-1.539464391	-0.718925076	0.011343724	0.171487721	2.06E-05	0.000646208	6-Dimethylaminopurine	CNC_43	1	16.7		HMDB00473	CN(C)C1=NC=NC2=C1NC=N2	
2-Deoxyadenosine	E1-PDH	"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial"	PDHA1	P08559	?	-0.94893831	0.642790541	-0.090003165	0.174305235	2.62E-05	0.000797686	Deoxyadenosine	4C_15	1	50	C00559	HMDB00101	NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](CO)O1	Purine metabolism;ABC transporters
Indole-3-acetic acid	E1-PDH	"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial"	PDHA1	P08559	?	-1.710081045	-0.314153454	0.02430965	0.091385673	0.000212496	0.005095579	Indoleacetic acid	4C_28	1	50	C00954	HMDB00197	OC(=O)CC1=CNC2=C1C=CC=C2	Tryptophan metabolism
Cadaverine	E1-PDH	"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial"	PDHA1	P08559	?	-0.525331548	0.473872141	-0.033219318	0.137316745	0.000221746	0.005298915	Cadaverine	C_12	1	50	C01672	HMDB02322	NCCCCCN	Lysine degradation;Glutathione metabolism;Protein digestion and absorption
Nicotinamide	E1-PDH	"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial"	PDHA1	P08559	?	-1.777267798	-0.29903512	-0.007265851	0.079297406	0.000233756	0.005542905	Niacinamide	N_1	1	50	C00153	HMDB01406	NC(=O)C1=CN=CC=C1	Nicotinate and nicotinamide metabolism;Vitamin digestion and absorption
5-Methoxy-3-indoleacetic acid	E1-PDH	"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial"	PDHA1	P08559	?	-1.661094685	-0.361355778	0.046123704	0.111286902	0.000250721	0.005892288	5-Methoxyindoleacetate	M_8	1	50	C05660	HMDB04096	COC1=CC2=C(NC=C2CC(O)=O)C=C1	Tryptophan metabolism
L-alpha-Glycerophosphorylcholine	E1-PDH	"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial"	PDHA1	P08559	?	-2.684617421	-0.545938546	0.134369768	0.203955329	0.000851232	0.016501311	Glycerophosphocholine	CNC_79	1	50	C00670	HMDB00086	C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](O)CO	Glycerophospholipid metabolism;Ether lipid metabolism;Choline metabolism in cancer
Putrescine	E1-PDH	"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial"	PDHA1	P08559	?	0.015022829	0.715233574	-0.017598995	0.221493681	0.000937658	0.017838102	Putrescine	P_3	1	50	C00134	HMDB01414	NCCCCN	Arginine and proline metabolism;D-Arginine and D-ornithine metabolism;Glutathione metabolism;ABC transporters;Protein digestion and absorption
3-Ureidopropionic acid	E1-PDH	"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial"	PDHA1	P08559	?	-1.158509486	0.215079537	-0.003816023	0.066826531	0.001054457	0.019683633	Ureidopropionic acid	U_6	1	50	C02642	HMDB00026	NC(=O)NCCC(O)=O	Pyrimidine metabolism;beta-Alanine metabolism;Pantothenate and CoA biosynthesis
L-Asparagine	E1-PDH	"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial"	PDHA1	P08559	?	-1.158509486	0.215079537	-0.003816023	0.066826531	0.001054457	0.019683633	L-Asparagine	A_11	1	50	C00152	HMDB00168	N[C@@H](CC(N)=O)C(O)=O	"Alanine, aspartate and glutamate metabolism;Aminoacyl-tRNA biosynthesis;Biosynthesis of amino acids;Protein digestion and absorption;Mineral absorption;Central carbon metabolism in cancer"
4-Imidazoleacrylic acid	E1-PDH	"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial"	PDHA1	P08559	?	-1.5307005	-0.140541809	0.023373219	0.05071376	0.001228579	0.022388316	Urocanic acid	I_6	1	50	C00785	HMDB00301	OC(=O)\C=C\C1=CNC=N1	Histidine metabolism
D-Sedoheptulose 7-phosphate	E1-PDH	"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial"	PDHA1	P08559	?	0.305131748	0.42540114	-0.047102622	0.146765138	0.001284345	0.023238665	D-Sedoheptulose 7-phosphate	20C_63	4	50	C05382	HMDB01068	OCC1(O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H](O)[C@@H]1O	Pentose phosphate pathway;Carbon metabolism;Biosynthesis of amino acids
Riboflavin 5-monophosphate	E1-PDH	"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial"	PDHA1	P08559	?	-0.502910894	-0.352463152	-0.003036856	0.109090652	0.001359653	0.024388097	Flavin Mononucleotide	20C_71	2	50	C00061	HMDB01520	CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(O)=O)C1=NC(=O)NC(=O)C1=N2	Oxidative phosphorylation;Riboflavin metabolism;Vitamin digestion and absorption
2-Oxoadipic acid	E1-PDH	"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial"	PDHA1	P08559	?	-0.287379654	-0.137835645	-0.007820181	0.040952325	0.001499395	0.026424337	Oxoadipic acid	CNC_129	3	50	C00322	HMDB00225	OC(=O)CCCC(=O)C(O)=O	Lysine degradation;Tryptophan metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids
Betaine	E1-PDH	"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial"	PDHA1	P08559	?	-0.821708031	0.497596284	-0.075671875	0.183709109	0.001805313	0.030720007	Betaine	B_1	1	16.7	C00719	HMDB00043	C[N+](C)(C)CC([O-])=O	"Glycine, serine and threonine metabolism;ABC transporters"
2-Deoxyadenosine 5-triphosphate	E1-PDH	"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial"	PDHA1	P08559	?	-0.965486097	-0.511525007	0.052080864	0.180887143	0.001834545	0.031111513	Deoxyadenosine triphosphate	20C_73	2	50	 C00131	HMDB01532	NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1	Purine metabolism
Epinephrine	E1-PDH	"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial"	PDHA1	P08559	?	-1.049130036	0.250427081	-0.029607592	0.09170053	0.00225966	0.036972786	Epinephrine	4C_21	1	50	C00788	HMDB00068	CNC[C@H](O)C1=CC=C(O)C(O)=C1	Tyrosine metabolism;cAMP signaling pathway;Neuroactive ligand-receptor interaction;Adrenergic signaling in cardiomyocytes;Regulation of lipolysis in adipocytes;Renin secretion
Uric acid	E1-PDH	"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial"	PDHA1	P08559	?	-1.775571789	-0.450979911	0.107870225	0.184538657	0.002458821	0.039406481	Uric acid	U_2	1	50	C00366	HMDB00289	O=C1NC2=C(N1)C(=O)NC(=O)N2	Purine metabolism;Bile secretion
O-Phosphorylethanolamine	E1-PDH	"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial"	PDHA1	P08559	?	-1.03686717	0.36390837	0.012387001	0.119999373	0.003396607	0.050919856	O-Phosphoethanolamine	20C_20	1	50	C00346	HMDB00224	NCCOP(O)(O)=O	Glycerophospholipid metabolism;Sphingolipid metabolism;Sphingolipid signaling pathway
3-Hydroxy-DL-kynurenine	E1-PDH	"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial"	PDHA1	P08559	?	-1.076176799	-0.27852913	0.049506138	0.115549163	0.004526597	0.063966158	Hydroxykynurenine	CNC_179	1	50	C02794	HMDB00732	NC(CC(=O)C1=C(N)C(O)=CC=C1)C(O)=O	
Pyruvate	E1-PDH	"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial"	PDHA1	P08559	?	-0.264830824	-0.177349255	-0.015535877	0.058655804	0.005803296	0.077543661	Pyruvic acid	4C_1	3	500	C00022	HMDB00243	CC(=O)C(O)=O	"Glycolysis / Gluconeogenesis;Citrate cycle (TCA cycle);Pentose phosphate pathway;Pentose and glucuronate interconversions;Ascorbate and aldarate metabolism;Alanine, aspartate and glutamate metabolism;Glycine, serine and threonine metabolism;Cysteine and methionine metabolism;Valine, leucine and isoleucine biosynthesis;Arginine and proline metabolism;Tyrosine metabolism;Phenylalanine metabolism;Taurine and hypotaurine metabolism;Phosphonate and phosphinate metabolism;Pyruvate metabolism;Glyoxylate and dicarboxylate metabolism;Butanoate metabolism;Thiamine metabolism;Nicotinate and nicotinamide metabolism;Pantothenate and CoA biosynthesis;Terpenoid backbone biosynthesis;Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;HIF-1 signaling pathway;AMPK signaling pathway;Insulin secretion;Glucagon signaling pathway;Type II diabetes mellitus;Insulin resistance;Central carbon metabolism in cancer"
5-Hydroxy-L-tryptophan	E1-PDH	"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial"	PDHA1	P08559	?	-0.91722648	-0.485232487	0.021818595	0.185406866	0.00624178	0.082220982	Oxitriptan	4C_27	2	50	C00643	HMDB15571	N[C@@H](CC1=CNC2=C1C=C(O)C=C2)C(O)=O	Tryptophan metabolism;Serotonergic synapse
N-2-Furoylglycine	E1-PDH	"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial"	PDHA1	P08559	?	-1.826036151	-0.157955701	0.010826041	0.063567949	0.007927573	0.098249311	2-Furoylglycine	CNC_154	1	50		HMDB00439	OC(=O)CNC(=O)C1=CC=CO1	
Guanosine 5-monophosphate	E2-PDH	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-7.202862586	-5.661564414	0.27050009	0.266692595	1.32E-109	1.33E-106	Guanosine monophosphate	G_17	2	50	C00144	HMDB01397	NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1	Purine metabolism;Antifolate resistance;cGMP-PKG signaling pathway;Olfactory transduction;Taste transduction;Phototransduction
Nicotinamide ribotide	E2-PDH	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-3.527761549	-2.231459177	0.072371044	0.128044685	2.23E-72	1.45E-69	Nicotinamide ribotide	CNC_14	2	50	C00455	HMDB00229	NC(=O)C1=CC=C[N+](=C1)[C@@H]1O[C@H](COP(O)([O-])=O)[C@@H](O)[C@H]1O	Nicotinate and nicotinamide metabolism
Cytidine monophosphate	E2-PDH	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-4.256511804	-2.693552759	0.178182588	0.1643917	2.47E-68	1.46E-65	Cytidine monophosphate	4C_16	3	50	C00055	HMDB00095	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O	Pyrimidine metabolism
