metabolite	query_protein	log2_abundance	log2_abundance_corrected	met_mean	met_sd	p_value	q_value
4-Imidazoleacrylic acid	CS	-0.129492278	0.017740728	0.019281735	0.054094531	0.977273505	1
4-Pyridoxic acid	CS	0.1436727	0.114076663	0.021789347	0.136755844	0.499782062	1
5-Hydroxy-L-tryptophan	CS	0.01937013	0.036727132	0.027614324	0.195213134	0.962767213	1
5-Methoxy-3-indoleacetic acid	CS	-0.087227011	0.036608176	0.04685831	0.106419841	0.92326811	1
5-Methoxytryptamine	CS	-0.009999669	-0.005089483	0.067602701	0.168435976	0.666052806	1
5-Methyluridine	CS	-0.128748312	-7.55E-04	0.01284479	0.064131975	0.832061641	1
5-Phospho-D-ribose 1-diphosphate	CS	-0.47235887	-0.043908637	0.080196327	0.225498087	0.582072977	1
6-Deoxy-L-galactonic acid	CS	0.064718966	0.09298768	-0.006008924	0.147980147	0.503504591	1
Acetylcholine	CS	-0.261973114	-0.015898588	-0.002553424	0.110896741	0.904214893	1
Adenine	CS	0.054610463	0.078383505	0.053859757	0.194310134	0.899566243	1
Adenosine	CS	-0.010252277	-0.002892056	-0.018379761	0.107934642	0.885902011	1
Adenylosuccinic acid	CS	-0.244980008	-0.096966359	0.006414474	0.174479085	0.55350824	1
Agmatine	CS	-0.121098498	0.006627361	0.02755041	0.109052344	0.847849965	1
Anthranilate	CS	-0.183723913	-0.020854823	0.012927819	0.067096532	0.614617624	1
Benzoate	CS	-0.016843832	0.006040661	0.008463304	0.095480658	0.979757341	1
Betaine	CS	-0.227050794	-0.058826668	-0.07568677	0.189387642	0.929062602	1
Betaine aldehyde	CS	-0.30403236	-0.02525371	-0.04956737	0.140677576	0.862783077	1
Betaine aldehyde hydrate	CS	-0.309807997	-0.080701581	-0.042856293	0.121183465	0.754814473	1
Biocytin	CS	-0.086490312	-0.038694169	-0.010272355	0.060727552	0.639769054	1
Biotin	CS	-0.133370662	-0.01434621	0.011431927	0.081982098	0.753189787	1
Butyryl coenzyme A	CS	-0.480894312	0.064352522	-0.010671892	0.17033959	0.659618265	1
Carnitine	CS	-0.204036496	-0.021655904	-0.007048163	0.081160503	0.857163685	1
CDP-Glycerol	CS	-0.097641011	0.006211119	0.026712182	0.087128969	0.813979307	1
Choline	CS	-0.257599922	-0.067989016	-0.037552534	0.200036574	0.879065011	1
Choline glycerophosphate	CS	-0.078117441	0.172370976	0.157076425	0.365733036	0.966643072	1
cis-4-Hydroxy-D-proline;trans-4-Hydroxy-L-proline	CS	-0.183239027	-0.024171355	-0.012109032	0.046761128	0.796440716	1
Citraconic acid	CS	-0.078000071	-0.009781243	-0.01480197	0.080573554	0.950314092	1
Creatine	CS	-0.109798038	0.00635993	0.00326352	0.077455057	0.968111576	1
Crotonoyl coenzyme A	CS	-0.29368358	0.189980724	0.114707451	1.08210184	0.944542206	1
Cyclic GMP	CS	0.019871396	0.044009994	0.026990145	0.063837928	0.789769233	1
Cysteamine	CS	-0.096523111	0.005525596	-0.006248613	0.112968699	0.916990468	1
Cytidine	CS	0.065894035	0.075232206	0.046546105	0.162170196	0.859595689	1
Cytidine-5-monophospho-N-acetylneuraminic acid	CS	-0.082777466	-0.045356121	-0.01533813	0.091947126	0.744068674	1
Cytidine 5-diphosphate	CS	-0.109178642	0.018029083	-0.032060919	0.131701271	0.703700146	1
D-Arabinonic acid	CS	-0.092009138	-0.028450068	-0.019127172	0.046870316	0.842334453	1
D-Arabitol;Adonitol;D-Xylitol	CS	-0.07245659	-0.035590358	0.043054331	0.134328087	0.558233614	1
"D-Erythrono-1,4-lactone"	CS	0.058697596	0.082139575	0.056662729	0.189970472	0.893315986	1
D-Fructose 6-phosphate;D-Galactose 1-phosphate;D-Glucose 1-phosphate;D-Glucose 6-phosphate;D-Mannose 1-phosphate;D-Mannose 6-phosphate	CS	-0.089038107	0.049767004	-0.026285464	0.12804755	0.552552739	1
D-Fructose;D-Galactose;Myoinositol	CS	-0.158492289	-0.007889448	-0.008828201	0.101669137	0.992632907	1
D-Galactaric acid	CS	-0.100271086	-0.033494286	-0.019737542	0.066806212	0.836853308	1
D-Gluconic acid	CS	-0.088838864	-0.032100927	-0.025905813	0.051294755	0.903869413	1
D-Glucosamine	CS	-0.173243671	-0.047663945	-0.01941397	0.077493125	0.715448736	1
D-Glucosamine 6-phosphate	CS	-0.100718862	0.010113674	-0.023410512	0.129114883	0.795136707	1
D-Glucose;D-Mannose	CS	-0.125848008	-0.080000278	0.01020838	0.133929229	0.50059448	1
D-Glucuronic acid	CS	-0.090354722	-0.019747791	-0.025153063	0.034559869	0.87571526	1
"D-Glucurono-6,3-lactone"	CS	-0.048737111	0.012922766	-0.018760953	0.06287442	0.61431713	1
D-Lactaldehyde	CS	-0.105071159	-0.035799223	-0.016679721	0.068864123	0.781287978	1
D-Sorbitol	CS	-0.110343682	-0.071612118	0.003040683	0.112129868	0.505557555	1
D-Tagatose 6-phosphate	CS	-0.202465443	0.011554778	0.065820776	0.185442783	0.769805488	1
Dihydrothymine	CS	-0.028015835	0.008532142	0.065403992	0.164666823	0.729812263	1
Dihydrouracil	CS	-0.154593842	0.012629177	0.027180048	0.064715929	0.822102045	1
Dimethylaminopurine	CS	-0.075692118	-0.018257082	0.005108803	0.170445564	0.890961964	1
Dimethylglycine;Gamma-Aminobutyric acid	CS	-0.174398839	-0.016916343	-0.02121442	0.075738049	0.954744938	1
DL-2-Amino-3-phosphonopropionic acid	CS	-0.07689934	-0.008988876	-0.016669413	0.050462392	0.879026668	1
"DL-3,4-Dihydroxymandelic acid"	CS	-0.035028638	0.024735711	-0.013792487	0.056471032	0.49507152	1
"DL-3,4-Dihydroxyphenyl glycol"	CS	-0.050770672	0.015449052	-0.022271167	0.084815325	0.656512333	1
DL-4-Hydroxy-3-methoxymandelic acid	CS	-0.06407134	-0.001674743	-0.013601224	0.06735653	0.859457365	1
DL-Homocysteine	CS	-0.056839382	-0.011972057	-0.010226323	0.065327152	0.978680709	1
DL-Homocystine	CS	-0.148796928	-0.004117101	-0.009108749	0.083031722	0.952062161	1
DL-Mandelic acid	CS	0.08891081	0.031780935	0.012211165	0.246567009	0.936739147	1
Dulcitol	CS	-0.133465569	-0.003105809	0.010425483	0.121559619	0.911367328	1
Flavin adenine dinucleotide	CS	0.049324477	0.042777353	-0.055620126	0.181585046	0.587900513	1
Folic acid	CS	0.413238263	0.161296805	0.097456093	0.277355579	0.817954693	1
Glucono delta-lactone	CS	-0.179814524	-0.026360977	0.002857613	0.084287895	0.72885257	1
Glutaric acid;Ethylmalonic acid	CS	-0.089082792	-0.02518687	-0.017905493	0.058806991	0.901459212	1
Glutathione disulfide	CS	-0.282369297	-0.056234724	0.00855186	0.305052156	0.831811592	1
Glycerol 3-phosphate	CS	-0.105223467	-0.033687955	0.00173588	0.051938852	0.495220231	1
Glycolic acid	CS	-0.076571669	-0.022423516	-0.008640437	0.077953334	0.859656118	1
Guanidineacetic acid	CS	-0.128413958	-0.026762189	0.012261632	0.066980194	0.560150944	1
Guanine	CS	0.029089513	0.038245283	0.028116156	0.12751002	0.936684332	1
Guanosine	CS	0.007034508	0.038992346	0.021166125	0.059894004	0.765985985	1
Guanosine 5-diphosphate	CS	-0.167644303	0.082510549	0.039456072	0.211895605	0.838988708	1
Guanosine 5-triphosphate	CS	-0.649531588	-0.006538934	0.030266357	0.371938537	0.921173757	1
Guanosine diphosphate mannose	CS	-0.029635357	0.012161542	-0.015628714	0.084672154	0.742752806	1
Hippuric acid	CS	-0.198757273	-0.032702272	0.021035335	0.086311423	0.533546537	1
Histamine	CS	-0.098903945	0.006393154	0.010414745	0.102650806	0.968748955	1
Homocitrulline	CS	-0.127154417	-0.011504819	0.00411859	0.082482521	0.849767738	1
Homovanillic acid	CS	-0.103676716	-0.051416828	-0.019316884	0.055975668	0.566331615	1
Hydroxypyruvate	CS	-0.085587235	-0.028267663	-0.009610607	0.050258468	0.710472086	1
Hypotaurine	CS	-0.168481405	-0.003748193	-0.003748193	0.053087721	1	1
Hypoxanthine	CS	-0.014880501	0.007812206	0.007781387	0.089460573	0.999725127	1
Indole-3-acetic acid	CS	-0.109166626	0.034362699	0.028356889	0.091129206	0.947453987	1
Indole-3-pyruvic acid	CS	0.119788855	-0.013956547	0.007603834	0.234087223	0.926615371	1
Inosine	CS	0.075585094	0.111968582	0.04704823	0.124471343	0.601970692	1
Isobutyrylglycine	CS	-0.101581253	-0.038774801	-0.014381864	0.041158199	0.553406781	1
Isovaleric acid	CS	-0.108189863	-0.035168135	-0.027956174	0.046568335	0.87692511	1
Ketoglutaric acid	CS	-0.496055755	-0.17199274	-0.039528308	0.23181153	0.567707118	1
L-Alanine;Beta-alanine	CS	-0.132403383	-0.024544343	0.001515248	0.086784625	0.763964431	1
L-alpha-Glycerophosphorylcholine	CS	-0.167500084	0.137419741	0.137419741	0.205674726	1	1
L-Arabinose;L-Ribulose;D-Xylose	CS	-0.177696137	-0.005147498	0.008103974	0.099679994	0.894240725	1
L-Asparagine;Ureidopropionic acid	CS	-0.150119087	-0.00225878	-0.007232007	0.07492743	0.947080136	1
L-Aspartic acid;D-Aspartic acid	CS	-0.020455758	0.020224084	-0.014823515	0.07858247	0.655598919	1
L-Carnosine	CS	-0.030394006	0.007905218	0.00283681	0.099888428	0.959532151	1
L-Cysteine	CS	-0.051814154	0.009105723	-0.036812803	0.074561855	0.537996997	1
L-Cystine	CS	-0.075257707	0.033304128	0.013749548	0.216370923	0.927989008	1
L-Dihydroorotic acid	CS	-0.102158147	0.018023538	0.021384297	0.105111075	0.97449326	1
L-Fucose	CS	-0.132633932	-0.07452387	0.005292073	0.159500209	0.616784455	1
L-Glutamic acid	CS	-0.174643821	-0.019827355	-0.011229708	0.073017531	0.906267566	1
L-Glutamine;D-Glutamine;Ureidoisobutyric acid	CS	-0.119579431	-0.002338879	-0.009005125	0.083472381	0.93634726	1
L-Histidine	CS	-0.149725166	-0.035239034	-0.006492698	0.074322629	0.698920779	1
L-Kynurenine	CS	-0.120142622	-5.16E-04	0.026035943	0.068577549	0.698626028	1
L-Leucine;L-Isoleucine;L-Alloisoleucine	CS	-0.182532944	-0.020852489	-0.030403884	0.072469978	0.895144101	1
L-Ornithine;D-Ornithine	CS	-0.067621227	-0.019549966	0.01045521	0.143000703	0.833803967	1
L-Phenylalanine	CS	-0.095380833	-0.039493292	-0.012180806	0.041827534	0.513770045	1
L-Pipecolic acid	CS	-0.229335145	-0.037220923	-0.017193777	0.056626848	0.723587154	1
L-Proline;D-Proline	CS	-0.17832839	-0.00759087	-0.014386971	0.044078882	0.877467461	1
L-Pyroglutamic acid;D-Pyroglutamic Acid	CS	-0.091715531	-0.026798844	-0.020764526	0.041820733	0.885271399	1
L-Serine;D-Serine	CS	-0.110147653	-0.054453718	-0.015458231	0.06160472	0.526736827	1
L-Tyrosine	CS	-0.027798632	-0.005346507	-0.003666087	0.108087315	0.987595889	1
L-Valine	CS	-0.132633489	-0.067616409	-0.027880588	0.05823237	0.495007213	1
Leucinic acid;D-Leucic acid;2-Hydroxy-3-methylpentanoic acid	CS	-0.091059923	-0.045037978	-0.003313881	0.064819469	0.519771939	1
Metanephrine	CS	-0.092106748	-0.013041164	-0.032944147	0.236718932	0.932993984	1
N-2-Furoylglycine	CS	-0.179727817	0.003696194	0.013275673	0.058775148	0.870530096	1
N-a-Acetyl-L-ornithine	CS	-0.013286691	0.045730364	0.001796099	0.148638261	0.76755204	1
N-Acetyl-D-galactosamine;N-Acetyl-D-glucosamine	CS	-0.035308041	0.007808372	-0.026876587	0.104473519	0.739891062	1
N-Acetyl-D-glucosamine 1-phosphate	CS	-0.017143963	-0.05793091	-9.99E-04	0.22383424	0.799227908	1
N-Acetyl-D-mannosamine	CS	-0.110381927	-0.024740998	0.008294849	0.103074399	0.748585637	1
N-Acetyl-L-aspartate	CS	-0.279316479	-0.096123167	-0.009080098	0.174680212	0.618272931	1
N-Acetylmuramic acid	CS	-0.124869272	-0.045375873	-0.012488421	0.087717885	0.707717745	1
N-Acetylputrescine	CS	-0.122559975	-0.041349191	-0.009755202	0.208647184	0.879642022	1
N-Formylanthranilic acid	CS	0.138119646	0.057853422	0.050920603	0.208526669	0.973477877	1
N-Hexanoyl-glycine	CS	-0.083207191	-0.02934627	-0.017587574	0.046893148	0.802003455	1
N-methyl-4-pyridone-3-carboxamide	CS	-0.201783142	-0.018925848	-0.013006443	0.086398826	0.94537762	1
"N,N-Diacetylchitobiose"	CS	-0.067854972	-0.02059884	0.002022446	0.095353006	0.812472737	1
NAD	CS	-0.045178729	0.010717965	0.010717965	0.15815023	1	1
NADP	CS	-0.124651195	-0.050425069	0.020206855	0.135919148	0.603299648	1
Nicotinamide	CS	-0.132355479	0.021360318	-0.004016809	0.073231702	0.728942943	1
Nicotinamide hypoxanthine dinucleotide	CS	-0.092674914	-0.061518645	0.011821395	0.130145586	0.573078759	1
Nicotinic acid	CS	-0.155235224	0.031442956	0.010842896	0.064995648	0.751285169	1
O-Acetyl-L-carnitine	CS	-0.227681878	-0.0312153	-0.005564479	0.093607238	0.784064608	1
O-Phosphorylethanolamine	CS	-0.212732048	-0.040273483	0.008808108	0.118102694	0.677714426	1
Orotidine 5-monophosphate	CS	0.077113704	0.059341062	0.005912078	0.184024565	0.771559085	1
Oxaloacetic acid	CS	-0.182739859	-0.085023473	-0.037135449	0.155075835	0.757470694	1
Pantothenic acid	CS	-0.155277933	-0.003586207	-0.002717777	0.074697088	0.990723977	1
Phenethylamine	CS	-0.161411207	-0.016718762	-0.019907886	0.10146127	0.974925078	1
Phenylpyruvate	CS	-0.022890062	-0.004846155	-0.008375578	0.112234762	0.97491323	1
Phosphatidic Acid	CS	0.08855075	0.200528756	0.062670328	0.268718636	0.607936306	1
Phosphatidylcholine	CS	-0.127762649	-0.033728765	-0.003683558	0.09382545	0.748798164	1
Phosphatidylethanolamine	CS	0.054334774	0.015161061	2.77E-04	0.184138835	0.935574917	1
Phosphatidylglycerol	CS	0.115548937	0.071271851	0.044422164	0.196170505	0.891134239	1
Phosphatidylserine	CS	0.020069379	0.100064089	0.009777557	0.140592719	0.520753085	1
Phosphocholine	CS	-0.181660928	-0.002525127	0.026267668	0.075211411	0.701849653	1
Prostaglandin E2;Prostaglandin I2;Prostaglandin D2	CS	0.052545495	0.06340315	-0.025103731	0.136164211	0.515691539	1
Putrescine	CS	-0.062899763	0.047300424	-0.014406987	0.23213565	0.790374147	1
Pyridoxal	CS	-0.010308482	0.068250334	0.085751895	0.203202007	0.931363968	1
Pyridoxamine-5-phosphate	CS	-0.069075167	0.00283476	-0.001343472	0.049676573	0.932970007	1
Pyridoxine;Norepinephrine	CS	-0.099484618	0.007359801	0.040871623	0.07759992	0.665847661	1
S-(5-Adenosyl)-L-homocysteine	CS	-0.027880447	-0.045644565	-0.086317116	0.223509275	0.855604272	1
Sarcosine	CS	-0.04589121	-0.022711402	-0.005358595	0.155239133	0.91099694	1
Succinic acid;Methylmalonic acid	CS	-0.085876822	-0.013756618	-0.015268634	0.055524573	0.97827512	1
Succinyl coenzyme A	CS	-0.235142867	-0.055902593	-0.024415354	0.182650388	0.863130338	1
Sucrose;Isomaltose	CS	-0.066005873	0.005698776	-0.007139085	0.127272476	0.919654364	1
Taurine	CS	-0.175161472	-0.003206162	-2.83E-04	0.051649996	0.954872972	1
Thymidine	CS	-0.133273902	-0.08571453	-0.010229264	0.17340618	0.663338174	1
Thymine	CS	-0.081273769	-0.05328217	0.01804193	0.131721989	0.588180561	1
Trans-beta-Hydromuconic acid	CS	-0.095147795	0.026349757	-0.004654138	0.055114308	0.573749494	1
Tyramine	CS	-0.091140838	-0.014243015	-0.017590717	0.114612952	0.976698098	1
UDP-GlcNAc;UDP-GalNAc	CS	-0.087391936	-0.052167786	-0.017198492	0.089062755	0.694587935	1
UDP-Glucuronate	CS	-0.083773822	-0.005788292	-0.012401109	0.122313954	0.956883948	1
Uracil	CS	-0.063877698	-0.017829356	0.031905555	0.120795089	0.680537638	1
Urea	CS	0.044080429	0.078990905	0.023866834	0.130987493	0.673875854	1
Uric acid	CS	0.044415829	0.15788462	0.110608021	0.169137986	0.779849651	1
Uridine	CS	-0.118682678	-0.035826987	0.05460225	0.164084549	0.581555759	1
Uridine 5-diphosphoglucose;Uridine 5-diphosphogalactose	CS	-0.137070028	-9.79E-04	0.060500677	0.166195029	0.711437114	1
Xanthine	CS	0.101416141	0.10033718	0.069791626	0.169260985	0.856788128	1
Xanthosine	CS	-0.038305723	0.020316417	0.006997559	0.060752556	0.826469918	1
Xanthosine 5-monophosphate	CS	-0.081372441	-0.016121014	0.009286482	0.106690928	0.81177165	1
Glycerol 3-phosphate	E1-PDH	-4.393273313	-4.216443014	0.00173588	0.051938852	0	0
Pyridoxine;Norepinephrine	E1-PDH	-1.429074538	-0.337119396	0.040871623	0.07759992	1.11E-06	4.46E-05
Phosphatidic Acid	E1-PDH	-1.308816407	-1.145245521	0.062670328	0.268718636	6.95E-06	2.37E-04
Dimethylaminopurine	E1-PDH	-1.539464391	-0.712176138	0.005108803	0.170445564	2.57E-05	7.70E-04
2-Deoxyadenosine	E1-PDH	-0.94893831	0.639331704	-0.090603477	0.179869453	4.95E-05	0.001370392
Nicotinamide	E1-PDH	-1.777267798	-0.294135751	-0.004016809	0.073231702	7.44E-05	0.00197773
5-Methoxy-3-indoleacetic acid	E1-PDH	-1.661094685	-0.369606565	0.04685831	0.106419841	9.10E-05	0.00236541
Indole-3-acetic acid	E1-PDH	-1.710081045	-0.318550264	0.028356889	0.091129206	1.41E-04	0.003468553
Cadaverine	E1-PDH	-0.525331548	0.484536054	-0.030688527	0.140052657	2.34E-04	0.005397512
Uric acid	E1-PDH	-1.775571789	-0.464264193	0.110608021	0.169137986	6.77E-04	0.013298831
D-Sedoheptulose 7-phosphate	E1-PDH	0.305131748	0.427838539	-0.048290154	0.143863289	9.34E-04	0.017463565
Epinephrine	E1-PDH	-1.049130036	0.260396418	-0.02847372	0.089083739	0.001184108	0.021222933
Putrescine	E1-PDH	0.015022829	0.735735932	-0.014406987	0.23213565	0.001231487	0.021916277
L-alpha-Glycerophosphorylcholine	E1-PDH	-2.684617421	-0.523158985	0.137419741	0.205674726	0.001319226	0.023169707
2-Deoxyadenosine 5-triphosphate	E1-PDH	-0.965486097	-0.555024818	0.026175777	0.183865159	0.001572202	0.026695128
Betaine	E1-PDH	-0.821708031	0.52253947	-0.07568677	0.189387642	0.00158453	0.026862877
4-Imidazoleacrylic acid	E1-PDH	-1.5307005	-0.147988922	0.019281735	0.054094531	0.001986845	0.032114351
Flavin Mononucleotide	E1-PDH	-0.502910894	-0.34123048	0.00522865	0.113818177	0.002334783	0.036649638
O-Phosphorylethanolamine	E1-PDH	-1.03686717	0.366365937	0.008808108	0.118102694	0.002465724	0.038292861
L-Asparagine;Ureidopropionic acid	E1-PDH	-1.158509486	0.214411816	-0.007232007	0.07492743	0.003095284	0.046090463
2-Oxoadipic acid	E1-PDH	-0.287379654	-0.13037605	-0.008953768	0.041174405	0.0031883	0.047150353
N-2-Furoylglycine	E1-PDH	-1.826036151	-0.157546929	0.013275673	0.058775148	0.003656433	0.052249372
3-Hydroxy-DL-kynurenine	E1-PDH	-1.076176799	-0.293694632	0.047934634	0.121270177	0.004846062	0.065198282
5-Hydroxy-L-tryptophan	E1-PDH	-0.91722648	-0.495758095	0.027614324	0.195213134	0.007339577	0.090106363
Pyruvate	E1-PDH	-0.264830824	-0.175656907	-0.0142702	0.060801416	0.00794673	0.095699613
Pyridoxal	E1-PDH	-1.466424504	-0.450848418	0.085751895	0.203202007	0.008272921	0.098669174
Xanthine	E1-PDH	-0.694539735	-0.377056406	0.069791626	0.169260985	0.008290743	0.098811303
Dihydrothymine	E1-PDH	-1.021165498	-0.367574438	0.065403992	0.164666823	0.008553036	0.10121647
D-Glyceraldehyde 3-phosphate;Dihydroxyacetone phosphate	E1-PDH	0.166276171	0.31831056	0.012738693	0.116333557	0.008622055	0.101871137
L-Valine	E1-PDH	-0.026801255	0.124734044	-0.027880588	0.05823237	0.008772708	0.103141346
Phosphatidylserine	E1-PDH	-0.455703574	-0.33639363	0.009777557	0.140592719	0.013807725	0.144971368
D-Tagatose 6-phosphate	E1-PDH	-1.300734757	0.508631212	0.065820776	0.185442783	0.016947037	0.168571262
"1,3-Diaminopropane"	E1-PDH	-0.339264416	0.391744436	0.014432282	0.158593898	0.017354548	0.171626455
Adenosine triphosphate;Deoxyguanosine triphosphate	E1-PDH	-0.99926475	-0.486006966	-0.015741326	0.19887858	0.018050203	0.176426123
Glutathione disulfide	E1-PDH	-1.546784141	-0.708733193	0.00855186	0.305052156	0.01870532	0.18110863
Glucono delta-lactone	E1-PDH	-1.675937982	-0.193171928	0.002857613	0.084287895	0.02003381	0.190987471
Hypotaurine	E1-PDH	-1.319534873	0.118615511	-0.003748193	0.053087721	0.021170257	0.198814634
Gamma-Glu-Cys	E1-PDH	0.899734344	0.615202988	-0.020945904	0.280253588	0.023213375	0.212172724
Carnitine	E1-PDH	-1.845017958	-0.188810751	-0.007048163	0.081160503	0.025120484	0.224035893
Pyridoxamine	E1-PDH	-1.049051542	-0.197686135	0.039311604	0.106685352	0.026319506	0.232039446
Octanoyl coenzyme A	E1-PDH	-2.01389537	-0.602970367	0.040662347	0.290921817	0.026939683	0.235891391
"D-Erythrono-1,4-lactone"	E1-PDH	-0.786199432	-0.360995331	0.056662729	0.189970472	0.027910505	0.241516982
Tyramine	E1-PDH	-0.478525248	0.233839863	-0.017590717	0.114612952	0.028254382	0.243485326
Deoxyadenosine diphosphate	E1-PDH	0.299020367	0.308021044	-0.044257492	0.160840868	0.028507541	0.244923793
Riboflavin	E1-PDH	-0.422126372	-0.408017865	0.029981275	0.200590888	0.028995732	0.247518028
Anthranilate	E1-PDH	-1.59151094	-0.130924841	0.012927819	0.067096532	0.032035639	0.265981018
Adenine	E1-PDH	-0.7809777	-0.357405162	0.053859757	0.194310134	0.034299017	0.27894728
Nicotinic acid	E1-PDH	-1.796900778	-0.122965222	0.010842896	0.064995648	0.039520659	0.307692951
L-Threonine	E1-PDH	-0.037632292	0.092607553	-0.023019779	0.05626318	0.039867853	0.309567865
2-Deoxycytidine	E1-PDH	-0.37430311	0.448917568	0.077421657	0.180827679	0.039935106	0.309838466
Guanosine 5-triphosphate	E1-PDH	-1.78418992	-0.71832913	0.030266357	0.371938537	0.044147673	0.330994338
Acetyl coenzyme A	E1-PDH	0.242346277	0.583162537	-0.042634952	0.31225809	0.045058989	0.335401838
D-Glucosamine	E1-PDH	-0.960970484	0.133450484	-0.01941397	0.077493125	0.048538923	0.352523407
L-Glutamic acid	E1-PDH	-1.353657046	-0.153154043	-0.011229708	0.073017531	0.051931375	0.368329204
Homovanillic acid	E1-PDH	-0.038416654	0.088637552	-0.019316884	0.055975668	0.053781066	0.377132333
N-a-Acetyl-L-ornithine	E1-PDH	-0.856489956	-0.284072201	0.001796099	0.148638261	0.05444886	0.380261428
Deoxycytidine triphosphate	E1-PDH	-0.174018628	0.315770125	0.053685609	0.137492906	0.056628471	0.390351542
2-Ethylhydracrylic acid	E1-PDH	0.144182029	0.240481666	-0.010300077	0.134600301	0.06243992	0.41369213
"2,5-Dihydroxybenzoic acid"	E1-PDH	-0.186251503	-0.254031276	0.041663061	0.159544498	0.063829927	0.419021576
NADH	E1-PDH	-3.633180303	-1.179250386	0.088489441	0.688058161	0.065403605	0.425411106
Agmatine	E1-PDH	-0.787927975	0.225596866	0.02755041	0.109052344	0.069359965	0.440817393
2-Amino-3-methoxybenzoic acid	E1-PDH	-0.708175684	-0.202833197	0.018470955	0.123109251	0.072236603	0.451785887
L-Alanine;Beta-alanine	E1-PDH	-0.775562713	0.156693257	0.001515248	0.086784625	0.073762809	0.457913282
3-Hydroxybutyryl coenzyme A	E1-PDH	-0.446013802	0.532264131	0.062652063	0.265044758	0.07642415	0.468176608
4-Imidazoleacetic acid	E1-PDH	-1.35030019	-0.068527284	0.00145948	0.039522038	0.076589174	0.468638363
Histamine	E1-PDH	-0.728086162	0.19133466	0.010414745	0.102650806	0.077988361	0.474458733
Adenosine	E1-PDH	-1.29342289	0.1710444	-0.018379761	0.107934642	0.079261107	0.478591219
Cysteamine	E1-PDH	-0.650644069	0.190021207	-0.006248613	0.112968699	0.082319712	0.488678344
Sarcosine	E1-PDH	-0.708841683	-0.273490214	-0.005358595	0.155239133	0.084128757	0.494249986
L-Glutamine;D-Glutamine;Ureidoisobutyric acid	E1-PDH	-0.848436367	0.134999517	-0.009005125	0.083472381	0.084495558	0.4954482
2-Deoxy-D-ribose	E1-PDH	-0.874025933	-0.219470315	0.058789553	0.162069618	0.08599458	0.500206418
Thiamine pyrophosphate	E1-PDH	-0.187454325	0.14261646	0.003476331	0.081262178	0.086852953	0.503144251
Thymine	E1-PDH	-0.726070894	-0.203808956	0.01804193	0.131721989	0.092136113	0.522091639
Cytidine 5-diphosphate	E1-PDH	0.041946729	0.181216266	-0.032060919	0.131701271	0.105360985	0.563081349
Betaine aldehyde hydrate	E1-PDH	-2.26357516	-0.238578088	-0.042856293	0.121183465	0.106291935	0.565805477
Guanosine 5-diphosphate	E1-PDH	0.094881949	0.381562691	0.039456072	0.211895605	0.106417826	0.566025455
Porphobilinogen	E1-PDH	-0.125088044	0.034219633	-0.02301634	0.035529887	0.107196138	0.567952558
Dimethylglycine;Gamma-Aminobutyric acid	E1-PDH	-1.228226634	0.100630631	-0.02121442	0.075738049	0.107666788	0.568826355
Hypoxanthine	E1-PDH	-0.549763604	-0.136068184	0.007781387	0.089460573	0.107842599	0.569457851
D-Cellobiose	E1-PDH	-0.073487223	0.077719612	-0.026217064	0.065007007	0.109853176	0.575742121
Coenzyme A	E1-PDH	0.538488241	-0.804848901	0.100293766	0.568313564	0.111231594	0.579833666
1-Methyl-L-histidine	E1-PDH	-1.012561436	-0.290674744	-0.028736487	0.165223927	0.112886142	0.584014955
4-Guanidinobutyric acid	E1-PDH	-0.594905191	-0.125756473	0.044781565	0.107827933	0.113746465	0.586457565
Indole-3-pyruvic acid	E1-PDH	-0.237749379	-0.36189008	0.007603834	0.234087223	0.114463308	0.58801969
2-Hydroxybutyric acid;(S)-3-Hydroxybutyric acid;(R)-3-Hydroxybutyric acid;(R)-3-Hydroxyisobutyric acid;(S)-3-Hydroxyisobutyric acid	E1-PDH	0.083465325	0.179271022	-0.006596683	0.121434522	0.125868227	0.616339019
Stachyose	E1-PDH	-0.083637735	0.064708576	-0.014098354	0.051667301	0.127190101	0.619563417
Succinyl coenzyme A	E1-PDH	-0.188745607	0.254018324	-0.024415354	0.182650388	0.127406869	0.62028833
Thymidine 5-triphosphate	E1-PDH	-1.00246933	-0.230430296	0.073137381	0.199289975	0.127697146	0.620955386
L-Aspartic acid;D-Aspartic acid	E1-PDH	0.007488708	0.103968489	-0.014823515	0.07858247	0.13061381	0.628812064
Folic acid	E1-PDH	-0.057940041	-0.312567494	0.097456093	0.277355579	0.139318976	0.648717698
D-Raffinose	E1-PDH	-0.117471792	0.185984412	-0.009454494	0.13411889	0.145059413	0.663110346
CDP-ethanolamine	E1-PDH	-0.103148586	0.066643007	0.001127479	0.045959146	0.154007911	0.683558224
Uracil	E1-PDH	-0.670599215	-0.135534233	0.031905555	0.120795089	0.165701922	0.707555137
Pyridoxamine-5-phosphate	E1-PDH	-0.093605038	0.065982926	-0.001343472	0.049676573	0.175323674	0.723658334
N-Acetyl-D-glucosamine 6-phosphate	E1-PDH	-0.118593557	0.078823319	-9.24E-04	0.059691587	0.181551869	0.735014235
D-Glucuronic acid	E1-PDH	-0.147913454	0.020917514	-0.025153063	0.034559869	0.182510226	0.736877608
6-Phosphogluconic acid	E1-PDH	-0.334878979	0.376602128	0.007493016	0.277112753	0.182866206	0.737341402
